"key","english","comment","source"
"common.buySellPopup.buy","Buy","UI text used in Assets/Common/UI/Popups/BuySellPopup.prefab (m_text). Keep translation short if possible.","Assets\Common\UI\Popups\BuySellPopup.prefab"
"common.button.button","Button","Button label used in Assets/Common/UI/Elements/Button.prefab (m_text). Keep translation short if possible.","Assets\Common\UI\Elements\Button.prefab"
"common.buySellPopup.good","Good","UI text used in Assets/Common/UI/Popups/BuySellPopup.prefab (m_text). Keep translation short if possible.","Assets\Common\UI\Popups\BuySellPopup.prefab"
"common.buySellPopup.sell","Sell","UI text used in Assets/Common/UI/Popups/BuySellPopup.prefab (m_text). Keep translation short if possible.","Assets\Common\UI\Popups\BuySellPopup.prefab"
"common.creditsUI.and.countless.others","and countless others.","UI text used in Assets/Common/UI/Credits/CreditsUI.prefab (m_text).","Assets\Common\UI\Credits\CreditsUI.prefab"
"common.creditsUI.credits","Credits","UI text used in Assets/Common/UI/Credits/CreditsUI.prefab (m_text). Keep translation short if possible.","Assets\Common\UI\Credits\CreditsUI.prefab"
"common.creditsEntry.programming.game.design.UI.design","Programming, Game Design, UI Design","UI text used in Assets/Common/UI/Credits/CreditsEntry.prefab (m_text).","Assets\Common\UI\Credits\CreditsEntry.prefab"
"common.creditsEntry.tom.ille","Tom Ille","UI text used in Assets/Common/UI/Credits/CreditsEntry.prefab (m_text). Keep translation short if possible.","Assets\Common\UI\Credits\CreditsEntry.prefab"
"common.collectionExtensions.value.value","{value}: {value}","UI text used in Assets/Common/Utility/CollectionExtensions.cs (hardcoded_cs). Keep translation short if possible.","Assets\Common\Utility\CollectionExtensions.cs:29"
"common.date.day.value.of.year.value","Day {value} of Year {value}","UI text used in Assets/Common/Types/Date.cs (hardcoded_cs).","Assets\Common\Types\Date.cs:83"
"common.defaultListItem.text.for.default.list.item","text for default list item","UI text used in Assets/Common/UI/Elements/DefaultListItem.prefab (m_text).","Assets\Common\UI\Elements\DefaultListItem.prefab"
"common.dateGauge.year.1.day.123","Year 1. Day 123","UI text used in Assets/Common/UI/DateGauge.prefab (m_text). Keep translation short if possible.","Assets\Common\UI\DateGauge.prefab"
"common.date.year.value.day.value","Year: {value}, Day: {value}","UI text used in Assets/Common/Types/Date.cs (hardcoded_cs).","Assets\Common\Types\Date.cs:78"
"common.floatExtensions.value.value","{value}{value}%","UI text used in Assets/Common/Utility/FloatExtensions.cs (hardcoded_cs). Keep translation short if possible.","Assets\Common\Utility\FloatExtensions.cs:27"
"common.gameOverUI.congatuations.you.successfully.completed.level.01.simple.beginnings","Congatuations! You successfully completed Level 01: Simple Beginnings!","Game over summary text used in Assets/Common/UI/GameOverUI.prefab (m_text).","Assets\Common\UI\GameOverUI.prefab"
"common.gameOverUI.day.23.of.year.2","Day 23 of Year 2","Game over summary text used in Assets/Common/UI/GameOverUI.prefab (m_text). Keep translation short if possible.","Assets\Common\UI\GameOverUI.prefab"
"common.gameOverUI.finish.date.coins.in.inventory.tier.ii.towns.tier.iii.towns.production.buildings.built.total.goods.tra","Finish Date: Coins in inventory: Tier II Towns: Tier III Towns: Production buildings built: Total goods Traded: Total Coins Earned: Favorite Good: Overall","Game over summary text used in Assets/Common/UI/GameOverUI.prefab (m_text).","Assets\Common\UI\GameOverUI.prefab"
"common.gameOverUI.game.over","Game Over!","Game over summary text used in Assets/Common/UI/GameOverUI.cs (hardcoded_cs). Keep translation short if possible.","Assets\Common\UI\GameOverUI.cs:68"
"common.gameOverUI.here.is.the.reason.you.lost.3","Here is the reason you lost :3","Game over summary text used in Assets/Common/UI/GameOverUI.prefab (m_text).","Assets\Common\UI\GameOverUI.prefab"
"common.gameOverUI.level.completed","Level Completed!","Game over summary text used in Assets/Common/UI/GameOverUI.prefab (m_text). Keep translation short if possible.","Assets\Common\UI\GameOverUI.prefab"
"common.gameOverUI.level.finished","Level Finished!","Game over summary text used in Assets/Common/UI/GameOverUI.cs (hardcoded_cs). Keep translation short if possible.","Assets\Common\UI\GameOverUI.cs:68"
"common.modifiableVariableTooltip.from.modifiers","from modifiers","Tooltip text used in Assets/Common/UI/Tooltips/ModifiableVariableTooltip.prefab (m_text). Keep translation short if possible.","Assets\Common\UI\Tooltips\ModifiableVariableTooltip.prefab"
"common.modifiableVariableTooltip.final.value.after.all.modifiers","Final Value after all modifiers","Tooltip text used in Assets/Common/UI/Tooltips/ModifiableVariableTooltip.prefab (m_text).","Assets\Common\UI\Tooltips\ModifiableVariableTooltip.prefab"
"common.modifiableTooltipElement.line.1","Line 1","Tooltip text used in Assets/Common/UI/Tooltips/ModifiableTooltipElement.prefab (m_text). Keep translation short if possible.","Assets\Common\UI\Tooltips\ModifiableTooltipElement.prefab"
"common.modifiableTooltip.value","{value}","Tooltip text used in Assets/Common/UI/Tooltips/ModifiableTooltip.cs (hardcoded_cs). Keep translation short if possible.","Assets\Common\UI\Tooltips\ModifiableTooltip.cs:51"
