"key","english","comment","source"
"goods.availability.levelAbundant","Abundant","UI text used in Assets/Features/Goods/Config/AvailabilityResources.asset (backing_field:DisplayString). Keep translation short if possible.","Assets\Features\Goods\Config\AvailabilityResources.asset"
"goods.selector.allGoodsFilter","for all goods","UI text used in Assets/Features/Goods/Selector/AllGoodsSelector.cs (hardcoded_cs). Keep translation short if possible.","Assets\Features\Goods\Selector\AllGoodsSelector.cs:14"
"goods.availability.levelNormal","Normal","UI text used in Assets/Features/Goods/Config/AvailabilityResources.asset (backing_field:DisplayString). Keep translation short if possible.","Assets\Features\Goods\Config\AvailabilityResources.asset"
"goods.availability.descSlightlyHighPrices","Prices are a little higher.","UI text used in Assets/Features/Goods/Config/AvailabilityResources.asset (backing_field:Description).","Assets\Features\Goods\Config\AvailabilityResources.asset"
"goods.availability.descVeryHighSellNow","Prices are a lot higher. Sell now!","UI text used in Assets/Features/Goods/Config/AvailabilityResources.asset (backing_field:Description).","Assets\Features\Goods\Config\AvailabilityResources.asset"
"goods.availability.descSlightlyLowPrices","Prices are a little lower.","UI text used in Assets/Features/Goods/Config/AvailabilityResources.asset (backing_field:Description).","Assets\Features\Goods\Config\AvailabilityResources.asset"
"goods.availability.descNormalPrices","Prices are normal.","UI text used in Assets/Features/Goods/Config/AvailabilityResources.asset (backing_field:Description).","Assets\Features\Goods\Config\AvailabilityResources.asset"
"goods.availability.descVeryLowBuyNow","Prices are very low. Buy now!","UI text used in Assets/Features/Goods/Config/AvailabilityResources.asset (backing_field:Description).","Assets\Features\Goods\Config\AvailabilityResources.asset"
"goods.availability.levelScarce","Scarce","UI text used in Assets/Features/Goods/Config/AvailabilityResources.asset (backing_field:DisplayString). Keep translation short if possible.","Assets\Features\Goods\Config\AvailabilityResources.asset"
"goods.availability.levelVeryAbundant","Very Abundant","UI text used in Assets/Features/Goods/Config/AvailabilityResources.asset (backing_field:DisplayString). Keep translation short if possible.","Assets\Features\Goods\Config\AvailabilityResources.asset"
"goods.availability.levelVeryScarce","Very Scarce","UI text used in Assets/Features/Goods/Config/AvailabilityResources.asset (backing_field:DisplayString). Keep translation short if possible.","Assets\Features\Goods\Config\AvailabilityResources.asset"
"goods.selector.forCountGoodsFromGroup","for {value} goods from {value}","UI text used in Assets/Features/Goods/Selector/ComplexGoodSelector.cs (hardcoded_cs).","Assets\Features\Goods\Selector\ComplexGoodSelector.cs:53"
"goods.tooltip.buysForLabel","Buys for","UI text used in Assets/Features/Goods/UI/GoodTooltip.cs (hardcoded_cs). Keep translation short if possible.","Assets\Features\Goods\UI\GoodTooltip.cs:90"
"goods.tooltip.basePriceLabel","Base Price","UI text used in Assets/Features/Goods/GoodTooltip.prefab (m_text). Keep translation short if possible.","Assets\Features\Goods\GoodTooltip.prefab"
"goods.tooltip.currentPriceLabel","Current Price","UI text used in Assets/Features/Goods/GoodTooltip.prefab (m_text). Keep translation short if possible.","Assets\Features\Goods\GoodTooltip.prefab"
"goods.tooltip.sellsForLabel","Sells for","UI text used in Assets/Features/Goods/UI/GoodTooltip.cs (hardcoded_cs). Keep translation short if possible.","Assets\Features\Goods\UI\GoodTooltip.cs:85"
"goods.playerTooltip.avgPurchasePriceLabel","Avg Purchase Price","UI text used in Assets/Features/Goods/PlayerGoodTooltip.prefab (m_text).","Assets\Features\Goods\PlayerGoodTooltip.prefab"
"goods.format.singleValue","{value}","UI text used in Assets/Features/Goods/UI/PlayerGoodTooltip.cs (hardcoded_cs). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\UI\PlayerGoodTooltip.cs:35; Assets\Features\Goods\UI\GoodTooltip.cs:58; Assets\Features\Goods\UI\GoodTooltip.cs:101.","Assets\Features\Goods\UI\PlayerGoodTooltip.cs:35; Assets\Features\Goods\UI\GoodTooltip.cs:58; Assets\Features\Goods\UI\GoodTooltip.cs:101"
"goods.format.valueWithSuffix","{value} {value}","UI text used in Assets/Features/Goods/UI/PlayerGoodTooltip.cs (hardcoded_cs). Keep translation short if possible.","Assets\Features\Goods\UI\PlayerGoodTooltip.cs:53"
"goods.name.bread","Bread","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T3_Bread.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T3_Bread.asset"
"goods.name.bricks","Bricks","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_Bricks.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_Bricks.asset"
"goods.name.ceramics","Ceramics","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T3_Ceramics.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T3_Ceramics.asset"
"goods.name.clay","Clay","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_Clay.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_Clay.asset"
"goods.name.cutStone","Cut Stone","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_CutStone.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_CutStone.asset"
"goods.name.driedFish","Dried Fish","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_DriedFish.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_DriedFish.asset"
"goods.name.flax","Flax","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_Flax.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_Flax.asset"
"goods.name.furniture","Furniture","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T3_Furniture.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T3_Furniture.asset"
"goods.name.flour","Flour","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_Flour.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_Flour.asset"
"goods.name.fish","Fish","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_Fish.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_Fish.asset"
"goods.name.forgedTools","Forged Tools","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T3_Tools.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T3_Tools.asset"
"goods.name.grain","Grain","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_Grain.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_Grain.asset"
"goods.name.herbs","Herbs","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_Herbs.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_Herbs.asset"
"goods.name.hay","Hay","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_Hay.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_Hay.asset"
"goods.name.herbalMedicine","Herbal Medicine","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_HerbalMedicine.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_HerbalMedicine.asset"
"goods.name.ironIngots","Iron Ingots","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_Iron.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_Iron.asset"
"goods.name.jewelry","Jewelry","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T3_Jewelry.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T3_Jewelry.asset"
"goods.name.leather","Leather","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_Leather.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_Leather.asset"
