"key","english","comment","source"
"levels.bankruptcylosscondition.valueDaysLeftBankruptcy","{value} days left in bankruptcy","Level/condition text used in Assets/Features/Levels/Conditions/Model/BankruptcyLossCondition.cs (hardcoded_cs).","Assets\Features\Levels\Conditions\Model\BankruptcyLossCondition.cs:37"
"levels.conditions.valueOverValue","{value}/{value}","Button label used in Assets/Features/Levels/Conditions/UI/ConditionsButton.cs (hardcoded_cs). Keep translation short if possible.","Assets\Features\Levels\Conditions\UI\ConditionsButton.cs:41"
"levels.developmenteffect.valueDevelopmentChangeRate","{value} development change rate","Level/condition text used in Assets/Features/Levels/GameModifiers/Effects/Data/DevelopmentEffectData.cs (hardcoded_cs).","Assets\Features\Levels\GameModifiers\Effects\Data\DevelopmentEffectData.cs:22"
"levels.eventbountifultides.bountifulTides","Bountiful Tides","Level/condition text used in Assets/Features/Levels/GameModifiers/Events/Data/Event_BountifulTides.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Levels\GameModifiers\Events\Data\Event_BountifulTides.asset"
"levels.eventbacktobasics.backBasics","Back to Basics","Level/condition text used in Assets/Features/Levels/GameModifiers/Events/Data/Event_BackToBasics.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Levels\GameModifiers\Events\Data\Event_BackToBasics.asset"
"levels.eventbacktobasics.hasBecomeFashionableAmongstPeopleStriveLive","It has become fashionable amongst the people to strive to live simpler lives.","Level/condition text used in Assets/Features/Levels/GameModifiers/Events/Data/Event_BackToBasics.asset (backing_field:Description).","Assets\Features\Levels\GameModifiers\Events\Data\Event_BackToBasics.asset"
"levels.eventbountifultides.unusuallyRichCurrentsBringFishCloserShore","Unusually rich currents bring fish closer to shore.","Level/condition text used in Assets/Features/Levels/GameModifiers/Events/Data/Event_BountifulTides.asset (backing_field:Description).","Assets\Features\Levels\GameModifiers\Events\Data\Event_BountifulTides.asset"
"levels.eventcontageouslaziness.contageousLaziness","Contageous Laziness","Level/condition text used in Assets/Features/Levels/GameModifiers/Events/Data/Event_ContageousLaziness.asset (backing_field:Title).","Assets\Features\Levels\GameModifiers\Events\Data\Event_ContageousLaziness.asset"
"levels.eventcraftysnobs.craftySnobs","Crafty Snobs","Level/condition text used in Assets/Features/Levels/GameModifiers/Events/Data/Event_CraftySnobs.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Levels\GameModifiers\Events\Data\Event_CraftySnobs.asset"
"levels.eventcontageouslaziness.peoplesLivesBecomingEasyMaybeTooEasy","Peoples lives are becoming easy. Maybe a little too easy. Nobody wants to work hard anymore.","Level/condition text used in Assets/Features/Levels/GameModifiers/Events/Data/Event_ContageousLaziness.asset (backing_field:Description).","Assets\Features\Levels\GameModifiers\Events\Data\Event_ContageousLaziness.asset"
"levels.eventcraftysnobs.richEliteBecomingUnusuallyCraftyPerhapsNew","The rich elite is becoming unusually crafty. Perhaps a new trend to pass the time.","Level/condition text used in Assets/Features/Levels/GameModifiers/Events/Data/Event_CraftySnobs.asset (backing_field:Description).","Assets\Features\Levels\GameModifiers\Events\Data\Event_CraftySnobs.asset"
"levels.eventdrywinds.badWeatherRuinsMuchSeasonalCrops","Bad weather ruins much of the seasonal crops.","Level/condition text used in Assets/Features/Levels/GameModifiers/Events/Data/Event_DryWinds.asset (backing_field:Description).","Assets\Features\Levels\GameModifiers\Events\Data\Event_DryWinds.asset"
"levels.eventdrywinds.dryWinds","Dry Winds","Level/condition text used in Assets/Features/Levels/GameModifiers/Events/Data/Event_DryWinds.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Levels\GameModifiers\Events\Data\Event_DryWinds.asset"
