"key","english","comment","source"
"player.companion.minus10PercentExtraSomething","- 10% extra something","UI text used in Assets/Features/Player/Retinue/UI/CompanionTooltip.prefab (m_text). Also appears in multiple places, e.g. Assets\Features\Player\Retinue\UI\CompanionTooltip.prefab; Assets\Features\Player\Retinue\UI\CompanionLevelTooltip.prefab.","Assets\Features\Player\Retinue\UI\CompanionTooltip.prefab; Assets\Features\Player\Retinue\UI\CompanionLevelTooltip.prefab"
"player.companion.architectLevel0MinusComingSoon","Architect (Level 0) - (coming soon)","UI text used in Assets/Features/Player/Retinue/UI/CompanionTooltip.prefab (m_text).","Assets\Features\Player\Retinue\UI\CompanionTooltip.prefab"
"player.companion.aquiresThingsCreativeWays","Aquires things in creative ways","UI text used in Assets/Features/Player/Retinue/UI/CompanionUI.prefab (m_text).","Assets\Features\Player\Retinue\UI\CompanionUI.prefab"
"player.caravanpanel.caravan","Caravan","UI text used in Assets/Features/Player/Caravan/UI/CaravanPanelUI.prefab (m_text). Keep translation short if possible.","Assets\Features\Player\Caravan\UI\CaravanPanelUI.prefab"
"player.companionlevel.comingSoon","(coming soon)","UI text used in Assets/Features/Player/Retinue/UI/CompanionLevelTooltip.cs (hardcoded_cs). Keep translation short if possible.","Assets\Features\Player\Retinue\UI\CompanionLevelTooltip.cs:57"
"player.companionconfigdefault.architect","Architect","UI text used in Assets/Features/Player/Retinue/Config/CompanionConfig_Default.asset (backing_field:Name). Keep translation short if possible.","Assets\Features\Player\Retinue\Config\CompanionConfig_Default.asset"
"player.companionconfigdefault.aqcuiresThingsCreativeWays","Aqcuires things in creative ways.","UI text used in Assets/Features/Player/Retinue/Config/CompanionConfig_Default.asset (backing_field:Description).","Assets\Features\Player\Retinue\Config\CompanionConfig_Default.asset"
"player.companionconfigdefault.diplomat","Diplomat","UI text used in Assets/Features/Player/Retinue/Config/CompanionConfig_Default.asset (backing_field:Name). Keep translation short if possible.","Assets\Features\Player\Retinue\Config\CompanionConfig_Default.asset"
"player.companionconfigdefault.guard","Guard","UI text used in Assets/Features/Player/Retinue/Config/CompanionConfig_Default.asset (backing_field:Name). Keep translation short if possible.","Assets\Features\Player\Retinue\Config\CompanionConfig_Default.asset"
"player.companionconfigdefault.getsStuffDone","Gets stuff done.","UI text used in Assets/Features/Player/Retinue/Config/CompanionConfig_Default.asset (backing_field:Description). Keep translation short if possible.","Assets\Features\Player\Retinue\Config\CompanionConfig_Default.asset"
