"key","english","comment","source"
"startmenu.allyselection.chooseAllies","Choose your Allies","Start menu text used in Assets/Features/StartMenu/UI/AllySelectionPanel.prefab (m_text).","Assets\Features\StartMenu\UI\AllySelectionPanel.prefab"
"startmenu.allyselectiontoggle.region","Region","Start menu text used in Assets/Features/StartMenu/UI/AllySelectionToggle.prefab (m_text). Keep translation short if possible.","Assets\Features\StartMenu\UI\AllySelectionToggle.prefab"
"startmenu.allyselection.startGreatReputationTownsSelectedRegionOther","You start with a great reputation in towns of the selected region. All other regions do not like you however.","Start menu text used in Assets/Features/StartMenu/UI/AllySelectionPanel.prefab (m_text).","Assets\Features\StartMenu\UI\AllySelectionPanel.prefab"
"startmenu.levelinfobox.bestTimeDay365Year3","Best Time: Day 365 of Year 3","Start menu text used in Assets/Features/StartMenu/UI/LevelInfoBox.prefab (m_text).","Assets\Features\StartMenu\UI\LevelInfoBox.prefab"
"startmenu.levelinfobox.difficultyMedium","Difficulty: Medium","Start menu text used in Assets/Features/StartMenu/UI/LevelInfoBox.prefab (m_text).","Assets\Features\StartMenu\UI\LevelInfoBox.prefab"
"startmenu.levelinfobox.fastestWinValue","Fastest Win: {value}","Start menu text used in Assets/Features/StartMenu/UI/LevelInfoBox.cs (hardcoded_cs).","Assets\Features\StartMenu\UI\LevelInfoBox.cs:68"
"startmenu.levelinfobox.lossConditions","Loss Conditions","Start menu text used in Assets/Features/StartMenu/UI/LevelInfoBox.prefab (m_text). Keep translation short if possible.","Assets\Features\StartMenu\UI\LevelInfoBox.prefab"
"startmenu.levelinfobox.winConditions","Win Conditions","Start menu text used in Assets/Features/StartMenu/UI/LevelInfoBox.prefab (m_text). Keep translation short if possible.","Assets\Features\StartMenu\UI\LevelInfoBox.prefab"
"startmenu.pressanykeyscreen.pressAnyKeyStart","Press any key to start","Button label used in Assets/Features/StartMenu/UI/PressAnyKeyScreen.prefab (m_text). Keep translation short if possible.","Assets\Features\StartMenu\UI\PressAnyKeyScreen.prefab"
"startmenu.versiontext.vValue","v. {value}","Start menu text used in Assets/Features/StartMenu/UI/VersionText.cs (hardcoded_cs). Keep translation short if possible.","Assets\Features\StartMenu\UI\VersionText.cs:11"
