"key","english","comment","source"
"towns.basetownfundsproduction.baseProductionTierValueTown","Base production for Tier {value} town.","UI text used in Assets/Features/Towns/Production/Logic/BaseTownFundsProduction.cs (hardcoded_cs).","Assets\Features\Towns\Production\Logic\BaseTownFundsProduction.cs:19"
"towns.developmentmilestone.minus10PercentExtraSomething","- 10% extra something","UI text used in Assets/Features/Towns/Development/UI/DevelopmentMilestoneTooltip.prefab (m_text).","Assets\Features\Towns\Development\UI\DevelopmentMilestoneTooltip.prefab"
"towns.dividendsfundsmodifier.dividendsValueValueSFunds","Dividends: {value} of {value}s funds","UI text used in Assets/Features/Towns/Development/Logic/Milestones/DividendsFundsModifier.cs (hardcoded_cs).","Assets\Features\Towns\Development\Logic\Milestones\DividendsFundsModifier.cs:32"
"towns.developmentmilestone.milestone","Milestone","UI text used in Assets/Features/Towns/Development/UI/DevelopmentMilestoneTooltip.prefab (m_text). Keep translation short if possible.","Assets\Features\Towns\Development\UI\DevelopmentMilestoneTooltip.prefab"
"towns.developmentmilestone.unlockedDevelopment50Percent","Unlocked at development 50%.","UI text used in Assets/Features/Towns/Development/UI/DevelopmentMilestoneTooltip.prefab (m_text).","Assets\Features\Towns\Development\UI\DevelopmentMilestoneTooltip.prefab"
"towns.developmentmilestone.unlocksDevelopmentValue","Unlocks at development {value}","UI text used in Assets/Features/Towns/Development/UI/DevelopmentMilestoneTooltip.cs (hardcoded_cs).","Assets\Features\Towns\Development\UI\DevelopmentMilestoneTooltip.cs:24"
"towns.inventorytier.tier","Tier","UI text used in Assets/Features/Towns/UI/InventoryTierGroup.prefab (m_text). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Towns\UI\InventoryTierGroup.prefab; Assets\Features\Towns\Production\UI\ProductionTierGroup.prefab.","Assets\Features\Towns\UI\InventoryTierGroup.prefab; Assets\Features\Towns\Production\UI\ProductionTierGroup.prefab"
"towns.mission.completingMissionWillUpgradeTownNextTier","Completing this mission will upgrade this town to the next tier.","Mission UI text used in Assets/Features/Towns/Missions/UI/MissionTooltip.prefab (m_text).","Assets\Features\Towns\Missions\UI\MissionTooltip.prefab"
"towns.missionstartednotification.deliverValueXValueValue","Deliver {value}x {value} before {value}.","Mission UI text used in Assets/Features/Towns/Missions/MissionStartedNotification.cs (hardcoded_cs).","Assets\Features\Towns\Missions\MissionStartedNotification.cs:32"
"towns.missionfailednotification.missionFailedValue","Mission failed: {value}","Mission UI text used in Assets/Features/Towns/Missions/MissionFailedNotification.cs (hardcoded_cs).","Assets\Features\Towns\Missions\MissionFailedNotification.cs:25"
"towns.missiontooltipdetails.success","On Success","Mission UI text used in Assets/Features/Towns/Missions/UI/MissionTooltipDetailsGroup.prefab (m_text). Keep translation short if possible.","Assets\Features\Towns\Missions\UI\MissionTooltipDetailsGroup.prefab"
"towns.missiontooltipdetail.text","This is the text.","Mission UI text used in Assets/Features/Towns/Missions/UI/MissionTooltipDetailElement.prefab (m_text).","Assets\Features\Towns\Missions\UI\MissionTooltipDetailElement.prefab"
"towns.mission.tradeMission","Trade Mission","Mission UI text used in Assets/Features/Towns/Missions/UI/MissionTooltip.prefab (m_text|hardcoded_cs). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Towns\Missions\UI\MissionTooltip.prefab; Assets\Features\Towns\Missions\UI\MissionTooltip.cs:44.","Assets\Features\Towns\Missions\UI\MissionTooltip.prefab; Assets\Features\Towns\Missions\UI\MissionTooltip.cs:44"
"towns.mission.valueMissionValueXValue","{value} Mission: {value} x{value}.","Mission UI text used in Assets/Features/Towns/Missions/Mission.cs (hardcoded_cs).","Assets\Features\Towns\Missions\Mission.cs:83"
"towns.missionstartednotification.valueStartedValueWantsValue","{value} started: {value} wants {value}.","Mission UI text used in Assets/Features/Towns/Missions/MissionStartedNotification.cs (hardcoded_cs).","Assets\Features\Towns\Missions\MissionStartedNotification.cs:26"
"towns.missionfailednotification.didNotDeliverEnoughValueTimeValue","You did not deliver enough {value} in time. {value} is not happy.","Mission UI text used in Assets/Features/Towns/Missions/MissionFailedNotification.cs (hardcoded_cs).","Assets\Features\Towns\Missions\MissionFailedNotification.cs:31"
"towns.producer.noMoreGoodsAvailable","no more goods available","UI text used in Assets/Features/Towns/Production/UI/ProducerGroup.prefab (m_text).","Assets\Features\Towns\Production\UI\ProducerGroup.prefab"
"towns.producer.producer1","Producer 1","UI text used in Assets/Features/Towns/Production/UI/ProducerGroup.prefab (m_text). Keep translation short if possible.","Assets\Features\Towns\Production\UI\ProducerGroup.prefab"
"towns.producer.producerValue","Producer {value}","UI text used in Assets/Features/Towns/Production/UI/ProducerGroup.cs (hardcoded_cs). Keep translation short if possible.","Assets\Features\Towns\Production\UI\ProducerGroup.cs:79"
"towns.townuimissionsection.n10Over15Delivered","10/15 delivered","Mission UI text used in Assets/Features/Towns/Missions/UI/TownUIMissionSectionItem.prefab (m_text). Keep translation short if possible.","Assets\Features\Towns\Missions\UI\TownUIMissionSectionItem.prefab"
"towns.townuiheader.plus999OverDay","+999 /day","UI text used in Assets/Features/Towns/UI/TownUIHeaderSection.prefab (m_text). Keep translation short if possible.","Assets\Features\Towns\UI\TownUIHeaderSection.prefab"
"towns.townuimissionsection.n999DaysLeft","999 days left","Mission UI text used in Assets/Features/Towns/Missions/UI/TownUIMissionSectionItem.prefab (m_text). Keep translation short if possible.","Assets\Features\Towns\Missions\UI\TownUIMissionSectionItem.prefab"
"towns.townuiheader.averton","Averton","UI text used in Assets/Features/Towns/UI/TownUIHeaderSection.prefab (m_text). Keep translation short if possible.","Assets\Features\Towns\UI\TownUIHeaderSection.prefab"
"towns.townuidevelopment.development","Development","UI text used in Assets/Features/Towns/UI/TownUIDevelopmentSection.prefab (m_text). Keep translation short if possible.","Assets\Features\Towns\UI\TownUIDevelopmentSection.prefab"
"towns.townuiheader.funds","Funds:","UI text used in Assets/Features/Towns/UI/TownUIHeaderSection.prefab (m_text). Keep translation short if possible.","Assets\Features\Towns\UI\TownUIHeaderSection.prefab"
"towns.tier3construction.n0","N0","UI text used in Assets/Features/Towns/Production/UI/Construction/Tier3ConstructionPopup.cs (hardcoded_cs). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Towns\Production\UI\Construction\Tier3ConstructionPopup.cs:89; Assets\Features\Towns\Production\UI\Construction\Tier2ConstructionPopup.cs:89; Assets\Features\Towns\Production\UI\Construction\Tier1ConstructionPopup.cs:89.","Assets\Features\Towns\Production\UI\Construction\Tier3ConstructionPopup.cs:89; Assets\Features\Towns\Production\UI\Construction\Tier2ConstructionPopup.cs:89; Assets\Features\Towns\Production\UI\Construction\Tier1ConstructionPopup.cs:89"
"towns.townuiproduction.productionBuildings","Production Buildings","UI text used in Assets/Features/Towns/Production/UI/TownUIProductionSection.prefab (m_text).","Assets\Features\Towns\Production\UI\TownUIProductionSection.prefab"
"towns.townuiheader.reputation","Reputation:","UI text used in Assets/Features/Towns/UI/TownUIHeaderSection.prefab (m_text). Keep translation short if possible.","Assets\Features\Towns\UI\TownUIHeaderSection.prefab"
"towns.townuimissionsection.sell15Fish","Sell 15 Fish","Mission UI text used in Assets/Features/Towns/Missions/UI/TownUIMissionSectionItem.prefab (m_text). Keep translation short if possible.","Assets\Features\Towns\Missions\UI\TownUIMissionSectionItem.prefab"
"towns.townuimissionsection.sellValueValue","Sell {value} {value}","Mission UI text used in Assets/Features/Towns/Missions/UI/TownUIMissionSectionItem.cs (hardcoded_cs).","Assets\Features\Towns\Missions\UI\TownUIMissionSectionItem.cs:61"
"towns.townuiheader.town","Town","UI text used in Assets/Features/Towns/UI/TownUIHeaderSection.prefab (m_text). Keep translation short if possible.","Assets\Features\Towns\UI\TownUIHeaderSection.prefab"
"towns.townuiinventory.townInventory","Town Inventory","UI text used in Assets/Features/Towns/UI/TownUIInventorySection.prefab (m_text). Keep translation short if possible.","Assets\Features\Towns\UI\TownUIInventorySection.prefab"
"towns.townuimission.tradeMissions","Trade Missions","Mission UI text used in Assets/Features/Towns/Missions/UI/TownUIMissionSection.prefab (m_text). Keep translation short if possible.","Assets\Features\Towns\Missions\UI\TownUIMissionSection.prefab"
"towns.townuimission.upgradeMission","Upgrade Mission","Mission UI text used in Assets/Features/Towns/Missions/UI/TownUIMissionSection.prefab (m_text|hardcoded_cs). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Towns\Missions\UI\TownUIMissionSection.prefab; Assets\Features\Towns\Missions\UI\MissionTooltip.cs:44.","Assets\Features\Towns\Missions\UI\TownUIMissionSection.prefab; Assets\Features\Towns\Missions\UI\MissionTooltip.cs:44"
"towns.townuiheader.value","{value}","UI text used in Assets/Features/Towns/UI/TownUIHeaderSection.cs (hardcoded_cs). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Towns\UI\TownUIHeaderSection.cs:70; Assets\Features\Towns\UI\TownUIHeaderSection.cs:77.","Assets\Features\Towns\UI\TownUIHeaderSection.cs:70; Assets\Features\Towns\UI\TownUIHeaderSection.cs:77"
"towns.townuimissionsection.valueDaysLeft","{value} days left","Mission UI text used in Assets/Features/Towns/Missions/UI/TownUIMissionSectionItem.cs (hardcoded_cs).","Assets\Features\Towns\Missions\UI\TownUIMissionSectionItem.cs:86"
"towns.townuiheader.valueValueOverDay","{value}{value} /day","UI text used in Assets/Features/Towns/UI/TownUIHeaderSection.cs (hardcoded_cs).","Assets\Features\Towns\UI\TownUIHeaderSection.cs:82"
"towns.townuidevelopment.valueValueOverDay","{value}{value}/day","UI text used in Assets/Features/Towns/UI/TownUIDevelopmentSection.cs (hardcoded_cs).","Assets\Features\Towns\UI\TownUIDevelopmentSection.cs:97"
"towns.townuimissionsection.valueOverValueDelivered","{value}/{value} delivered","Mission UI text used in Assets/Features/Towns/Missions/UI/TownUIMissionSectionItem.cs (hardcoded_cs).","Assets\Features\Towns\Missions\UI\TownUIMissionSectionItem.cs:95"
"towns.town.willowwoodville","Willowwoodville","UI text used in Assets/Features/Towns/Overlays/TownOverlay.prefab (m_text). Keep translation short if possible.","Assets\Features\Towns\Overlays\TownOverlay.prefab"
