"key","english","comment","source"
"trade.availabilityPriceModifier.availability.value","Availability: {value}","UI text used in Assets/Features/Trade/Logic/Price/AvailabilityPriceModifier.cs (hardcoded_cs).","Assets\Features\Trade\Logic\Price\AvailabilityPriceModifier.cs:30"
"trade.haggleToggle.10.rep","+10 Rep","UI text used in Assets/Features/Trade/Haggling/UI/HaggleToggle.prefab (m_text). Keep translation short if possible.","Assets\Features\Trade\Haggling\UI\HaggleToggle.prefab"
"trade.haggleToggle.100.traded.goods","/100 traded goods","UI text used in Assets/Features/Trade/Haggling/UI/HaggleToggle.prefab (m_text).","Assets\Features\Trade\Haggling\UI\HaggleToggle.prefab"
"trade.haggleToggle.5.coin","-5% Coin","UI text used in Assets/Features/Trade/Haggling/UI/HaggleToggle.prefab (m_text). Keep translation short if possible.","Assets\Features\Trade\Haggling\UI\HaggleToggle.prefab"
"trade.haggleToggle.accomodating","Accomodating","UI text used in Assets/Features/Trade/Haggling/UI/HaggleToggle.prefab (m_text). Keep translation short if possible.","Assets\Features\Trade\Haggling\UI\HaggleToggle.prefab"
"trade.haggleGroupUI.haggling","Haggling","UI text used in Assets/Features/Trade/Haggling/UI/HaggleGroupUI.prefab (m_text). Keep translation short if possible.","Assets\Features\Trade\Haggling\UI\HaggleGroupUI.prefab"
"trade.haggleToggle.value.coin","{value} coin","UI text used in Assets/Features/Trade/Haggling/UI/HaggleToggle.cs (hardcoded_cs). Keep translation short if possible.","Assets\Features\Trade\Haggling\UI\HaggleToggle.cs:43"
"trade.reputationPriceModifier.value.value.you.your.reputation.value","{value} {value} you! Your reputation: {value}","UI text used in Assets/Features/Trade/Logic/Price/ReputationPriceModifier.cs (hardcoded_cs).","Assets\Features\Trade\Logic\Price\ReputationPriceModifier.cs:36"
"trade.tradeUI.150x","150x","UI text used in Assets/Features/Trade/UI/TradeUI.prefab (m_text). Keep translation short if possible.","Assets\Features\Trade\UI\TradeUI.prefab"
"trade.tradeUI.buy","Buy","UI text used in Assets/Features/Trade/UI/TradeUI.cs (hardcoded_cs). Keep translation short if possible.","Assets\Features\Trade\UI\TradeUI.cs:170"
"trade.tradeUI.buy.sell","Buy/Sell","UI text used in Assets/Features/Trade/UI/TradeUI.prefab (m_text). Keep translation short if possible.","Assets\Features\Trade\UI\TradeUI.prefab"
"trade.tradeUI.funds.400.000.12345.67","Funds: 400,000 (+12345.67)","UI text used in Assets/Features/Trade/UI/TradeUI.prefab (m_text).","Assets\Features\Trade\UI\TradeUI.prefab"
"trade.tradeUI.funds.value.value","Funds: {value} ({value})","UI text used in Assets/Features/Trade/UI/TradeUI.cs (hardcoded_cs). Also appears in multiple places, e.g. Assets\Features\Trade\UI\TradeUI.cs:324; Assets\Features\Trade\UI\TradeUI.cs:333.","Assets\Features\Trade\UI\TradeUI.cs:324; Assets\Features\Trade\UI\TradeUI.cs:333"
