"key","english","comment","source"
"tutorial.onboardingtasklist.tasks","Tasks","Tutorial/help text used in Assets/Features/Tutorial/Onboarding/UI/OnboardingTaskListUI.prefab (m_text). Keep translation short if possible.","Assets\Features\Tutorial\Onboarding\UI\OnboardingTaskListUI.prefab"
"tutorial.onboardingexplainer.welcomeMerchantGameAboutTrade","Welcome, Merchant! This is a game about trade.","Tutorial/help text used in Assets/Features/Tutorial/Onboarding/UI/OnboardingExplainerUI.prefab (m_text).","Assets\Features\Tutorial\Onboarding\UI\OnboardingExplainerUI.prefab"
"tutorial.tutorialtopiccaravan.makeMoreMoneyExpandTradeNetworkWill","As you make more money and expand your trade network you will develop the need to move faster and haul more goods.","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Caravan.asset (backing_field:Description).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Caravan.asset"
"tutorial.tutorialtopiccontrols.cameraMovement","Camera Movement","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Controls.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Controls.asset"
"tutorial.tutorialtopiccontrols.controlsWorldMap","Controls & the World Map","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Controls.asset (backing_field:Title).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Controls.asset"
"tutorial.tutorialtopiccaravan.cartsUpgrades","Carts & Upgrades","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Caravan.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Caravan.asset"
"tutorial.tutorialtopiccontrols.leftMinusClickTownsProductionZonesInspect","Left-click towns and production zones to inspect their details.","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Controls.asset (backing_field:Description).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Controls.asset"
"tutorial.tutorialtopiccontrols.moveCameraWasdHoldMiddleMouseButton","Move the camera with WASD. Hold the middle mouse button to pan the view.","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Controls.asset (backing_field:Description).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Controls.asset"
"tutorial.tutorialtopiccontrols.rightMinusClickTownMoveCaravanThere","Right-click on a town to move your caravan there. Travel takes time and costs upkeep.","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Controls.asset (backing_field:Description).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Controls.asset"
"tutorial.tutorialtopiccontrols.townDetails","Town Details","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Controls.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Controls.asset"
"tutorial.tutorialtopiccontrols.travelingTowns","Traveling to Towns","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Controls.asset (backing_field:Title).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Controls.asset"
"tutorial.tutorialtopicdevelopment.eachTownHasDevelopmentGaugeReflectsIts","Each town has a development gauge that reflects its growth over time. Supplying foreign goods, completing missions and financing production buildings increases the towns development trend.","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Development.asset (backing_field:Description).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Development.asset"
"tutorial.tutorialtopicdevelopment.townDevelopment","Town Development","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Development.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Development.asset"
