Key,Id,English(en)
Conditions.Bankruptcy.Description,,You lose if you run out of coin
Conditions.Bankruptcy.Warning,,Your coffers are running dry. You have {0} days to put coin back in your purse.
Conditions.Bankruptcy.GameOver,,You've run out of coin! You were bankrupt for more than {0} days.
Conditions.Bankruptcy.Progress,,{0} days left in bankruptcy
Conditions.Timeout.StartOfYear,,You lose at the start of year {0}
Conditions.Timeout.EndOfYear,,You lose at the end of year {0}
Conditions.Timeout.DayOfYear,,You lose on day {0} of year {1}
Conditions.Timeout.Warning,,You're running out of time! You have {0} days left to win.
Conditions.Timeout.GameOver,,You've run out of time! You had until {0} to win.
Conditions.Timeout.Progress,,{0} days left
Conditions.TownTier,,Develop {0} towns to tier {1}.
Conditions.Funds,,Accumulate {0} coin.
Conditions.LocalReputation,,Maintain a reputation of {0} in all towns.
Conditions.GlobalReputation,,Reach an average of {0} reputation across all towns.
Conditions.LossImminent,,Loss Imminent
