Key,Id,English(en)
Goods.Tier,,Tier {0}
Goods.AllTiers,"to be improved by Tom",all
Goods.AllRegions,"to be improved by Tom",all regions
Goods.Selector.ForAll,"to be improved by Tom",for all goods
Goods.Selector.For,"to be improved by Tom",for {0}
Goods.Selector.Complex,"to be improved by Tom",for {0} goods from {1}
Goods.Good.Berries.Name,,Berries
Goods.Good.Berries.Building,,Berry Picker
Goods.Good.Clay.Name,,Clay
Goods.Good.Clay.Building,,Clay Pit
Goods.Good.Fish.Name,,Fish
Goods.Good.Fish.Building,,Fishery
Goods.Good.Flax.Name,,Flax
Goods.Good.Flax.Building,,Flax Field
Goods.Good.Grain.Name,,Grain
Goods.Good.Grain.Building,,Grain Field
Goods.Good.Hay.Name,,Hay
Goods.Good.Hay.Building,,Hay Meadows
Goods.Good.Herbs.Name,,Herbs
Goods.Good.Herbs.Building,,Herb Collector
Goods.Good.Logs.Name,,Logs
Goods.Good.Logs.Building,,Lumberjack
Goods.Good.Mussels.Name,,Mussels
Goods.Good.Mussels.Building,,Mussel Beds
Goods.Good.RawOre.Name,,Raw Ore
Goods.Good.RawOre.Building,,Ore Mine
Goods.Good.RawStone.Name,,Raw Stone
Goods.Good.RawStone.Building,,Stone Mine
Goods.Good.Seaweed.Name,,Seaweed
Goods.Good.Seaweed.Building,,Seaweed Beds
Goods.Good.Sheep.Name,,Sheep
Goods.Good.Sheep.Building,,Sheep Pasture
Goods.Good.Shells.Name,,Shells
Goods.Good.Shells.Building,,Shelldiver
Goods.Good.Vegetables.Name,,Vegetables
Goods.Good.Vegetables.Building,,Vegetable Beds
Goods.Good.WildGame.Name,,Wild Game
Goods.Good.WildGame.Building,,Hunter
Goods.Good.BerryWine.Name,,Berry Wine
Goods.Good.BerryWine.Building,,Wine Brewery
Goods.Good.Bricks.Name,,Bricks
Goods.Good.Bricks.Building,,Brick Kiln
Goods.Good.CutStone.Name,,Cut Stone
Goods.Good.CutStone.Building,,Stone Mason
Goods.Good.DriedFish.Name,,Dried Fish
Goods.Good.DriedFish.Building,,Smokery
Goods.Good.Flour.Name,,Flour
Goods.Good.Flour.Building,,Grain Mill
Goods.Good.Wool.Name,,Wool
Goods.Good.Wool.Building,,Shearer's Shop
Goods.Good.HerbalMedicine.Name,,Herbal Medicine
Goods.Good.HerbalMedicine.Building,,Herbalist
Goods.Good.IronIngots.Name,,Iron Ingots
Goods.Good.IronIngots.Building,,Iron Furnace
Goods.Good.Leather.Name,,Leather
Goods.Good.Leather.Building,,Tanner
Goods.Good.Linen.Name,,Linen
Goods.Good.Linen.Building,,Weaver's Hut
Goods.Good.Lime.Name,,Lime
Goods.Good.Lime.Building,,Lime Kiln
Goods.Good.Pearls.Name,,Pearls
Goods.Good.Pearls.Building,,Pearl Diver
Goods.Good.Pickles.Name,,Pickles
Goods.Good.Pickles.Building,,Pickling Cellar
Goods.Good.Pigments.Name,,Pigments
Goods.Good.Pigments.Building,,Seaweed Refinery
Goods.Good.Thatch.Name,,Thatch
Goods.Good.Thatch.Building,,Thatch Packer
Goods.Good.WoodenPlanks.Name,,Wooden Planks
Goods.Good.WoodenPlanks.Building,,Sawmill
Goods.Good.Bread.Name,,Bread
Goods.Good.Bread.Building,,Bakery
Goods.Good.Ceramics.Name,,Ceramics
Goods.Good.Ceramics.Building,,Pottery
Goods.Good.Furniture.Name,,Furniture
Goods.Good.Furniture.Building,,Furnituremaker
Goods.Good.Jewelry.Name,,Jewelry
Goods.Good.Jewelry.Building,,Jeweler
Goods.Good.MedicalRations.Name,,Medical Rations
Goods.Good.MedicalRations.Building,,Alchemist Lab
Goods.Good.PaddedClothing.Name,,Padded Clothing
Goods.Good.PaddedClothing.Building,,Textile Works
Goods.Good.Provisions.Name,,Provisions
Goods.Good.Provisions.Building,,Provisioner
Goods.Good.Tents.Name,,Tents
Goods.Good.Tents.Building,,Canvas Works
Goods.Good.ForgedTools.Name,,Forged Tools
Goods.Good.ForgedTools.Building,,Toolmaker
Goods.Good.Weapons.Name,,Weapons
Goods.Good.Weapons.Building,,Weapon Smith
Goods.Availability.VeryScarce.Name,,Very Scarce
Goods.Availability.VeryScarce.Description,,Prices are a lot higher. Sell now!
Goods.Availability.Scarce.Name,,Scarce
Goods.Availability.Scarce.Description,,Prices are a little higher.
Goods.Availability.Normal.Name,,Normal
Goods.Availability.Normal.Description,,Prices are normal.
Goods.Availability.Abundant.Name,,Abundant
Goods.Availability.Abundant.Description,,Prices are a little lower.
Goods.Availability.VeryAbundant.Name,,Very Abundant
Goods.Availability.VeryAbundant.Description,,Prices are very low. Buy now!
Goods.Region.Forest,,Forest
Goods.Region.Ocean,,Ocean
Goods.Region.Fields,,Fields
Goods.Region.Mountains,,Mountains
Goods.Tootlip.CurrentPrice,,Current Price
Goods.Tootlip.BasePrice,,Base Price
Goods.Tootlip.AvgPurchasePrice,"Average purchase price. Should be quite short, as it is displayed in a tooltip.",Avg Purchase Price
