Key,Id,English(en)
Menus.GameOver.Title.Win,,Level Finished!
Menus.GameOver.Title.Loss,,Game Over!
Menus.GameOver.WinMessage,,Congratulations! You successfully completed {0}
Menus.GameOver.LossMessage,,You failed to complete {0}
Menus.GameOver.FavoriteGood,,{0} (traded {1} times)
Menus.GameOver.BackToMainMenu,,Back to Main Menu
Menus.Start.Play,,Play
Menus.Start.Continue,,Continue
Menus.Start.Credits,,Credits
Menus.Start.Feedback,,Feedback
Menus.Start.Quit,,Quit
Menus.Start.Settings,,Settings
Menus.Start.Start,,Start
Menus.Escape.Title,,Paused
Menus.Escape.Resume,,Resume
Menus.Escape.GiveUp,,Give Up
Menus.Escape.FeedbackReceived,,Feedback received!
Menus.Settings.MasterVolume,,Master Volume
Menus.Settings.MusicVolume,,Music Volume
Menus.Settings.SfxVolume,,SFX Volume
Menus.Settings.InterfaceVolume,,Interface Volume
Menus.Feedback.Title,,Send Feedback
Menus.Feedback.NamePlaceholder,,Your name (optional)
Menus.Feedback.MessagePlaceholder,,Your feedback...
Menus.Feedback.Submit,,Submit
Menus.Feedback.Cancel,,Cancel
Menus.Start.PressAnyKey,,Press any key to start
Menus.Credits.Title,,Credits
Menus.Credits.Role,,"Programming, Game Design, UI Design"
Menus.Escape.FeedbackThankYou,,Your feedback has been received. Thank you!
Menus.ProductionChains,,Production Chains
Menus.Campsite,,Campsite

