Key,Id,English(en)
Modifiers.Event.BackToBasics.Title,,Back to Basics
Modifiers.Event.BackToBasics.Description,,It has become fashionable amongst the people to strive to live simpler lives.
Modifiers.Event.BountifulTides.Title,,Bountiful Tides
Modifiers.Event.BountifulTides.Description,,Unusually rich currents bring fish closer to shore.
Modifiers.Event.ContageousLaziness.Title,,Contageous Laziness
Modifiers.Event.ContageousLaziness.Description,,Peoples lives are becoming easy. Maybe a little too easy. Nobody wants to work hard anymore.
Modifiers.Event.CraftySnobs.Title,,Crafty Snobs
Modifiers.Event.CraftySnobs.Description,,"The rich elite is becoming unusually crafty. Perhaps a new trend to pass the time."
Modifiers.Event.DryWinds.Title,,Dry Winds
Modifiers.Event.DryWinds.Description,,Bad weather ruins much of the seasonal crops.
Modifiers.Event.GenerousNobles.Title,,Generous Nobles
Modifiers.Event.GenerousNobles.Description,,The nobility around these parts are in a giving mood and support all towns in their development.
Modifiers.Event.HeavyRain.Title,,Heavy Rain
Modifiers.Event.HeavyRain.Description,,"The clouds are dark, the air is thick. This storm isn't going to end any time soon."
Modifiers.Event.HorseShortage.Title,,Horse Shortage
Modifiers.Event.HorseShortage.Description,,People need to ride and they take what they can get.
Modifiers.Event.LandSlides.Title,,Land Slides
Modifiers.Event.LandSlides.Description,,Large parts of the mountains have become impassable making the mines hardly usable.
Modifiers.Event.MarketFair.Title,,Market Fair
Modifiers.Event.MarketFair.Description,,A regional fair attracts traders and travelers.
Modifiers.Event.PanicPurchases.Title,,Panic Purchases
Modifiers.Event.PanicPurchases.Description,,"Rumors of a coming plague are spreading. Panic sets in, and the people know their priorities: anything remotely suitable for wiping one's behinds."
Modifiers.Level.GoldenTimes.Title,,Golden Times
Modifiers.Level.GoldenTimes.Description,,"Things have been great these past few years. The pepole are happy and healthy and life is good."
Modifiers.Level.PlentifulOceans.Title,,Plentiful Oceans
Modifiers.Level.PlentifulOceans.Description,,"The oceans are plentiful here. Sadly, that's about the only thing plentiful. Everything else is expensvie and hard to get. So, towns really want to get some briny, juicy ocean stuff!"
Modifiers.Level.PlentifulOceans.MissionLimiter,,Non-Ocean towns only request Ocean goods in their missions.
Modifiers.Level.TimesOfMistrust.Title,,Times of Mistrust
Modifiers.Level.TimesOfMistrust.Description,,"People in this area like to stick to themselves and don't trust the others. You start with towns of one region on your side and will need to play your cards right to please everyone."
Modifiers.Effect.Development,,{0} development change rate
Modifiers.Effect.MovementSpeed,,{0} caravan movement speed
Modifiers.Effect.Price,,{0} to prices {1}
Modifiers.Effect.PurchasePrice,,{0} to purchase prices {1}
Modifiers.Effect.SalePrice,,{0} to sale prices {1}
Modifiers.Effect.Production,,{0} production speed {1}
Modifiers.Effect.Reputation,,{0} for all reputation changes
Modifiers.Effect.Ally,,Your allies will start the game with a high reputation of you.
Modifiers.Effect.Ally.TownIsAlly,,This town is your ally.
Modifiers.Effect.Ally.TownIsFoe,,This town is your foe.
