Key,Id,English(en)
Trade.NetProfit,,You will be making a profit of {0} with this trade.
Trade.NetLoss,,You will be making a loss of {0} with this trade.
Trade.NotEnoughCoinPlayer,,You do not have enough coin.
Trade.NotEnoughCoinTown,"{0} is the town name",{0} does not have enough coin.
Trade.Coin,,coin
Trade.NoEmptySlots,,There are no more empty slots for {0}
Trade.CannotBuyTier,,{0} cannot buy {1} as they are not {2} yet.
Trade.Price.BasePrice,,Base price for {0} goods
Trade.Price.ForeignGood,,Good from foreign region
Trade.Price.LocalGood,,Good from local region.
Trade.Price.ReputationLikes,,{0} likes you! Your reputation: {1}
Trade.Price.ReputationDislikes,,{0} dislikes you! Your reputation: {1}
Trade.Price.Availability,,Availability: {0}
Trade.Price.GlobalSurplus,,There is a global surplus of {0} {1}.
Trade.Price.GlobalSurplusRate,,({0} per {1} goods)
Trade.Price.Disinterest,,This town is growing tired of {0}.
Trade.Price.DisinterestDetail,,They bought {0} {1} in the last {2} days.
