Key,Id,English(en)
Tutorial.Title,,Tutorial
Tutorial.Button,,Tutorial: {0}
Tutorial.Onboarding.TravelTo,,Travel to {0}
Tutorial.Onboarding.BuildProducer,,Build {0} in {1}
Tutorial.Onboarding.UnpauseGame,,Un-pause the game [Space]
Tutorial.Onboarding.SetSpeedFast,,Set the game speed to fast [2]
Tutorial.Onboarding.UpgradeCart,,Upgrade your cart to tier II.
Tutorial.Onboarding.BuyGoods,,Buy {0} {1} in {2}.
Tutorial.Onboarding.SellGoods,,Sell {0} {1} in {2}.
Tutorial.Onboarding.UpgradeTown,,Upgrade {0} to tier II.
Tutorial.Onboarding.Explainer.Step1,,"Welcome, Merchant! This is a game about trade.\nYou will help small, disconnected towns develop by delivering what they need...\nAnd you'll make a pretty coin along the way."
Tutorial.Onboarding.Explainer.Step2,,"In this introduction, you will develop TownA and TownB to tier II.\nTowns grow by consuming the goods you sell them, through trade missions and in various other ways."
Tutorial.Onboarding.Explainer.Step3,,"It looks like TownB has an active trade mission for hay right now. You are currently in TownA, which happens to produce hay. Buy 15 hay, travel to TownB and sell it to them."
Tutorial.Onboarding.Explainer.Step4,,"Well done! Fulfilling missions gives you a cash reward and raises the towns development. You can inspect a town's development in the top of the town panel."
Tutorial.Onboarding.Explainer.Step5,,"In the meantime, TownA got ready to be upgraded. To upgrade towns to the next tier, you need to fulfill their upgrade missions."
Tutorial.Onboarding.Explainer.Step6,,TownA needs berries to upgrade. The forest near TownB has berries. Build a berry picker in TownB and buy 30 berries.
Tutorial.Onboarding.Explainer.Step7,,"Nicely done! Investing in production buildings not only produces goods in the town, but also bumps up the towns development and your reputation with them."
Tutorial.Onboarding.Explainer.Step8,,"It will take some time to amass the 30 berries needed for TownA's upgrade mission. You can wait here and let some days pass by unpausing the game via [Space]. To further speed up time, press [2]."
Tutorial.Onboarding.Explainer.Step9,,"There are now enough berries. Deliver them to TownA to complete their upgrade. While you're at it, you should also buy some wild game. The more goods a town has bought, the faster they develop. And the better your margins!"
Tutorial.Onboarding.Explainer.Step10,,"To fit more than one good into your caravan, you must first upgrade your cart. Upgrading your carts makes them faster and adds more storage space. But be aware of increasing upkeep costs!"
Tutorial.Onboarding.Explainer.Step11,,"Good job! TownA has been upgraded to Tier II. It has improved production speed and earns more coin, which is great news for you, as they can buy more goods off of you at once. Upgrading a town also unlocks the next tier of goods, which have much better earning potential for you."
Tutorial.Onboarding.Explainer.Step12,,"It's time to find your own fortune now. With everything you've learned, go ahead and help TownB get to tier II."
Tutorial.Onboarding.Explainer.Step13,,"TownA has some untapped resources in the neighboring fields. Build more production buildings, ship goods back and forth and help TownB prosper.\nGood luck out there!"
Tutorial.Topic.Intro.Title,,Intro
Tutorial.Topic.Intro.Steps.Welcome.Title,,Welcome!
Tutorial.Topic.Intro.Steps.Welcome.Description,,"Thanks for playing Medieval Merchant!\n\nYour goal is to build a profitable trade network by buying and selling goods between towns and helping them grow over time."
Tutorial.Topic.Intro.Steps.Trading.Title,,Trading
Tutorial.Topic.Intro.Steps.Trading.Description,,You can buy goods that towns produce and sell them to other towns. You find your inventory on the left and the towns inventory and production buildings on the right of the screen.
Tutorial.Topic.Intro.Steps.Prices.Title,,Prices
Tutorial.Topic.Intro.Steps.Prices.Description,,"Prices are driven by supply and demand as well as a variety of other factors. Make sure to pay attention to current events in the game.\n\nIf you want to understand how prices are calculated, you can hover them in the trade popup."
Tutorial.Topic.Intro.Steps.Towns.Title,,Towns
Tutorial.Topic.Intro.Steps.Towns.Description,,"Each town produces certain goods based on the resources of nearby regions. Supplying towns with what they lack helps them grow, unlock better production bulidings and trade opportunities."
Tutorial.Topic.Intro.Steps.Caravan.Title,,Caravan
Tutorial.Topic.Intro.Steps.Caravan.Description,,"Carts determine how much you can carry and how fast you travel. The better your carts, the more you can carry but the higher is also your upkeep."
Tutorial.Topic.Intro.Steps.WinningAndLosing.Title,,Winning and Losing
Tutorial.Topic.Intro.Steps.WinningAndLosing.Description,,To win you need to satisfy all win conditions and manage to not trigger any losing condition.
Tutorial.Topic.Intro.Steps.Tutorials.Title,,Tutorials
Tutorial.Topic.Intro.Steps.Tutorials.Description,,"If you ever wonder how things work, look out for buttons with question marks. They open further tutorials."
Tutorial.Topic.Intro.Steps.GoodLuck.Title,,Good Luck!
Tutorial.Topic.Intro.Steps.GoodLuck.Description,,"That is all for now :)\n\nYou will learn more as you play. Enjoy the journey!"
Tutorial.Topic.Controls.Title,,Controls & the World Map
Tutorial.Topic.Controls.Steps.CameraMovement.Title,,Camera Movement
Tutorial.Topic.Controls.Steps.CameraMovement.Description,,"Move the camera with WASD. Hold the middle mouse button to pan the view.\n\n[C] centers the camera on your location.\n\n[Space] pauses the game. [1] and [2] set the game speed."
