"Key","Shared Comments","English(en)"
"common.Config.RegionResources.fieldsKey3","Used in Assets/Common\Config\RegionResources.asset (Name line 28).","Fields - Key: 3"
"common.Config.RegionResources.forestKey1","Used in Assets/Common\Config\RegionResources.asset (Name line 20).","Forest - Key: 1"
"common.Config.RegionResources.oceanKey2","Used in Assets/Common\Config\RegionResources.asset (Name line 24).","Ocean - Key: 2"
"common.Config.RegionResources.region","Used in Assets/Common\Config\RegionResources.cs (C#). Keep concise and natural for players.","Region"
"common.Config.RegionResources.resources","Used in Assets/Common\Config\RegionResources.cs (C#). Keep concise and natural for players.","Resources"
"common.Config.TierResources.icon","Used in Assets/Common\Config\TierResources.cs (C#). Keep concise and natural for players.","Icon"
"common.Config.TierResources.tier","Used in Assets/Common\Config\TierResources.cs (C#). Keep concise and natural for players.","Tier"
"common.Infrastructure.Global.PersistenceLocation.levels","Used in Assets/Common\Infrastructure\Global\PersistenceLocation.cs (C#). Keep concise and natural for players.","Levels"
"common.Infrastructure.Global.PersistenceLocation.playerSaves","Used in Assets/Common\Infrastructure\Global\PersistenceLocation.cs (C#). Keep concise and natural for players.","{_Value1}/PlayerSaves"
"common.Infrastructure.Global.PersistenceLocation.settings","Used in Assets/Common\Infrastructure\Global\PersistenceLocation.cs (C#). Keep concise and natural for players.","Settings"
"common.Infrastructure.Modifiable.AverageBaseValueModifier.average","Used in Assets/Common\Infrastructure\Modifiable\AverageBaseValueModifier.cs (C#). Keep concise and natural for players.","Average {_Value1}"
"common.Infrastructure.Modifiable.AverageBaseValueModifier.valueAlreadyAdded","Used in Assets/Common\Infrastructure\Modifiable\AverageBaseValueModifier.cs (C#). Keep concise and natural for players.","Value already added. {_Value1}"
"common.Infrastructure.Modifiable.BasePercentageModifier.text","Used in Assets/Common\Infrastructure\Modifiable\BasePercentageModifier.cs (C#). Keep concise and natural for players.","{_Value1}{_Value1}%"
"common.Infrastructure.Modifiable.GenericBasePercentageModifier.yOURENOTSUPPOSEDTOSEETHIS","Used in Assets/Common\Infrastructure\Modifiable\GenericBasePercentageModifier.cs (C#). Keep concise and natural for players.","YOU'RE NOT SUPPOSED TO SEE THIS"
"common.Infrastructure.Modifiable.ModifiableVariable.cannotAddA","Used in Assets/Common\Infrastructure\Modifiable\ModifiableVariable.cs (C#). Keep concise and natural for players.","Cannot add a {_Value1}."
"common.Infrastructure.Modifiable.ModifiableVariable.cannotRemoveA","Used in Assets/Common\Infrastructure\Modifiable\ModifiableVariable.cs (C#). Keep concise and natural for players.","Cannot remove a {_Value1}."
"common.Infrastructure.Modifiable.ObservableAverage.valueAlreadyAdded","Used in Assets/Common\Infrastructure\Modifiable\ObservableAverage.cs (C#). Keep concise and natural for players.","Value already added. {_Value1}"
"common.Infrastructure.Observation.Observable.text","Used in Assets/Common\Infrastructure\Observation\Observable.cs (C#). Keep concise and natural for players.",">{_Value1}<"
"common.Infrastructure.Serialization.FilePersistenceService.couldNotDeserializeIntoAObject","Used in Assets/Common\Infrastructure\Serialization\FilePersistenceService.cs (C#). Keep concise and natural for players.","Could not deserialize {_FinalFilePath} into a {_Value1} object."
"common.Infrastructure.Serialization.FilePersistenceService.couldNotSerialize","Used in Assets/Common\Infrastructure\Serialization\FilePersistenceService.cs (C#). Keep concise and natural for players.","Could not serialize {_Value1} ({_Value1})."
"common.Infrastructure.Serialization.FilePersistenceService.exception","Used in Assets/Common\Infrastructure\Serialization\FilePersistenceService.cs (C#). Keep concise and natural for players.","Exception: {_Value1}"
"common.Infrastructure.Serialization.FilePersistenceService.save","Used in Assets/Common\Infrastructure\Serialization\FilePersistenceService.cs (C#). Keep concise and natural for players.","save"
"common.Localization.UI.LocalizableText.thisTextIsLocalized","Used in Assets/Features\Localization\UI\LocalizableText.prefab (m_text line 101).","This text is localized."
"common.Map.Effects.CloudSpawner.movement","Used in Assets/Features\Map\Effects\CloudSpawner.cs (C#). Keep concise and natural for players.","Movement"
"common.Map.Effects.CloudSpawner.spawn","Used in Assets/Features\Map\Effects\CloudSpawner.cs (C#). Keep concise and natural for players.","Spawn"
"common.Map.Tiling.Tiles.tiles","Used in Assets/Features\Map\Tiling\Tiles.cs (C#). Keep concise and natural for players.","Tiles"
"common.Map.Tiling.TownMapTile.animationHandler","Used in Assets/Features\Map\Tiling\TownMapTile.cs (C#). Keep concise and natural for players.","animationHandler"
"common.Map.Zones.Overlays.ProductionZoneOverlay.forest","Used in Assets/Features\Map\Zones\Overlays\ProductionZoneOverlay.prefab (m_text line 501).","Forest"
"common.Ticking.Logic.FloatBasedTicker.tickerHasAlreadyBeenSetUpChanging","Used in Assets/Features\Ticking\Logic\FloatBasedTicker.cs (C#). Keep concise and natural for players.","Ticker has already been set up. Changing tick rates on live ticker is not supported."
"common.Ticking.Logic.FloatBasedTicker.tryingToTickAnUninitializedTicker","Used in Assets/Features\Ticking\Logic\FloatBasedTicker.cs (C#). Keep concise and natural for players.","Trying to tick an uninitialized ticker."
"common.Ticking.Logic.IntBasedTicker.tickerHasAlreadyBeenSetUpChanging","Used in Assets/Features\Ticking\Logic\IntBasedTicker.cs (C#). Keep concise and natural for players.","Ticker has already been set up. Changing tick rates on live ticker is not supported."
"common.Ticking.Logic.IntBasedTicker.tryingToTickAnUninitializedTicker","Used in Assets/Features\Ticking\Logic\IntBasedTicker.cs (C#). Keep concise and natural for players.","Trying to tick an uninitialized ticker."
"common.Ticking.Test.TickerTester.fLOAT","Used in Assets/Features\Ticking\Test\TickerTester.cs (C#). Keep concise and natural for players.","FLOAT {_FloatTick}: +{_Value1} -- {_FloatSum}"
"common.Ticking.Test.TickerTester.iNT","Used in Assets/Features\Ticking\Test\TickerTester.cs (C#). Keep concise and natural for players.","INT {_IntTick}: +{_Value1} -- {_IntSum}"
"common.Trade.Haggling.HagglePriceModifier.youAreHagglingLy","Used in Assets/Features\Trade\Haggling\HagglePriceModifier.cs (C#). Keep concise and natural for players.","You are haggling {_Value1}ly."
"common.Trade.Haggling.UI.HaggleGroupUI.haggling","Used in Assets/Features\Trade\Haggling\UI\HaggleGroupUI.prefab (m_text line 279).","Haggling"
"common.Trade.Haggling.UI.HaggleToggle.100TradedGoods","Used in Assets/Features\Trade\Haggling\UI\HaggleToggle.prefab (m_text line 228).","/100 traded goods"
"common.Trade.Haggling.UI.HaggleToggle.10Rep","Used in Assets/Features\Trade\Haggling\UI\HaggleToggle.prefab (m_text line 639).","+10 Rep"
"common.Trade.Haggling.UI.HaggleToggle.5Coin","Used in Assets/Features\Trade\Haggling\UI\HaggleToggle.prefab (m_text line 502).","-5% Coin"
"common.Trade.Haggling.UI.HaggleToggle.accomodating","Used in Assets/Features\Trade\Haggling\UI\HaggleToggle.prefab (m_text line 365).","Accomodating"
"common.Trade.Haggling.UI.HaggleToggle.coin","Used in Assets/Features\Trade\Haggling\UI\HaggleToggle.cs (C#). Keep concise and natural for players.","{_Value1} coin"
"common.Trade.Logic.OngoingTrade.tradeTrackerDidNotHaveEntryForWhen","Used in Assets/Features\Trade\Logic\OngoingTrade.cs (C#). Keep concise and natural for players.","TradeTracker did not have entry for {_Value1} when selling. Something's wrong."
"common.Trade.Logic.OngoingTrade.xForATotalOfAtRep","Used in Assets/Features\Trade\Logic\OngoingTrade.cs (C#). Keep concise and natural for players.","{_Value1}x{_Value1} for a total of {_Value1} at {_Value1} ({_Value1} rep)"
"common.Trade.Logic.Price.AvailabilityPriceModifier.availability","Used in Assets/Features\Trade\Logic\Price\AvailabilityPriceModifier.cs (C#). Keep concise and natural for players.","Availability: {_Value1}"
"common.Trade.Logic.Price.BasePriceModifier.basePriceForGoods","Used in Assets/Features\Trade\Logic\Price\BasePriceModifier.cs (C#). Keep concise and natural for players.","Base price for {_Value1} goods"
"common.Trade.Logic.Price.DisinterestPriceModifier.perGoods","Used in Assets/Features\Trade\Logic\Price\DisinterestPriceModifier.cs (C#). Keep concise and natural for players.","({_Value1} per {_Value1} goods)"
"common.Trade.Logic.Price.DisinterestPriceModifier.theyBoughtInTheLastDays","Used in Assets/Features\Trade\Logic\Price\DisinterestPriceModifier.cs (C#). Keep concise and natural for players.","They bought {_Value1} {_GoodName} in the last {_Value1} days."
"common.Trade.Logic.Price.DisinterestPriceModifier.thisTownIsGrowingTiredOf","Used in Assets/Features\Trade\Logic\Price\DisinterestPriceModifier.cs (C#). Keep concise and natural for players.","This town is growing tired of {_GoodName}."
"common.Trade.Logic.Price.ForeignGoodPriceModifier.goodFromForeignRegion","Used in Assets/Features\Trade\Logic\Price\ForeignGoodPriceModifier.cs (C#). Keep concise and natural for players.","Good from foreign region"
"common.Trade.Logic.Price.GlobalSurplusPriceModifier.perGoods","Used in Assets/Features\Trade\Logic\Price\GlobalSurplusPriceModifier.cs (C#). Keep concise and natural for players.","({_Value1} per {_Value1} goods)"
"common.Trade.Logic.Price.GlobalSurplusPriceModifier.thereIsAGlobalSurplusOf","Used in Assets/Features\Trade\Logic\Price\GlobalSurplusPriceModifier.cs (C#). Keep concise and natural for players.","There is a global surplus of {_Value1} {_GoodName}."
"common.Trade.Logic.Price.LocalGoodPriceModifier.goodFromLocalRegion","Used in Assets/Features\Trade\Logic\Price\LocalGoodPriceModifier.cs (C#). Keep concise and natural for players.","Good from local region."
"common.Trade.Logic.Price.PriceList.pricePerGood","Used in Assets/Features\Trade\Logic\Price\PriceList.cs (C#). Keep concise and natural for players.","Price per Good"
"common.Trade.Logic.Price.ReputationPriceModifier.dislikes","Used in Assets/Features\Trade\Logic\Price\ReputationPriceModifier.cs (C#). Keep concise and natural for players.","dislikes"
"common.Trade.Logic.Price.ReputationPriceModifier.likes","Used in Assets/Features\Trade\Logic\Price\ReputationPriceModifier.cs (C#). Keep concise and natural for players.","likes"
"common.Trade.Logic.TradeService.tradeAborted","Used in Assets/Features\Trade\Logic\TradeService.cs (C#). Keep concise and natural for players.","Trade aborted."
"common.Trade.Logic.TradeService.tradeCompleted","Used in Assets/Features\Trade\Logic\TradeService.cs (C#). Keep concise and natural for players.","Trade completed: {_Value1}."
"common.Trade.Logic.TradeService.tradedXWorthCoinHagglingLy","Used in Assets/Features\Trade\Logic\TradeService.cs (C#). Keep concise and natural for players.","Traded {_Value1}x{_Value1} worth {_Value1} coin, haggling {_Value1}ly."
"common.Trade.Logic.TradeValidator.cannotBuyAsTheyAreNotYet","Used in Assets/Features\Trade\Logic\TradeValidator.cs (C#). Keep concise and natural for players.","{_Value1} cannot buy {_Value1} as they are not {_Value1} yet."
"common.Trade.Logic.TradeValidator.doesNotOwnAny","Used in Assets/Features\Trade\Logic\TradeValidator.cs (C#). Keep concise and natural for players.","{_Value1} does not own any {_Value1}."
"common.Trade.Logic.TradeValidator.doesNotOwnThat","Used in Assets/Features\Trade\Logic\TradeValidator.cs (C#). Keep concise and natural for players.","{_Value1} does not own that {_Value1} {_Value1}."
"common.Trade.Logic.TradeValidator.isProducingThemselvesTheyArenTInterested","Used in Assets/Features\Trade\Logic\TradeValidator.cs (C#). Keep concise and natural for players.","{_Value1} is producing {_Value1} themselves. They aren't interested in buying it."
"common.Trade.Logic.TradeValidator.travelToAndSelectATownTo","Used in Assets/Features\Trade\Logic\TradeValidator.cs (C#). Keep concise and natural for players.","Travel to and select a town to trade."
"common.Trade.Logic.TradeValidator.travelToToTradeWithThem","Used in Assets/Features\Trade\Logic\TradeValidator.cs (C#). Keep concise and natural for players.","Travel to {_Value1} to trade with them."
"common.Trade.Logic.TradeValidator.youDoNotOwnAny","Used in Assets/Features\Trade\Logic\TradeValidator.cs (C#). Keep concise and natural for players.","You do not own any {_Value1}."
"common.Trade.Logic.TradeValidator.youDoNotOwnThat","Used in Assets/Features\Trade\Logic\TradeValidator.cs (C#). Keep concise and natural for players.","You do not own that {_Value1} {_Value1}."
"common.Trade.UI.TradeErrorPopup.simpleTooltip","Used in Assets/Features\Trade\UI\TradeErrorPopup.prefab (m_text line 69).","Simple tooltip."
"common.Trade.UI.TradeUI.150x","Used in Assets/Features\Trade\UI\TradeUI.prefab (m_text line 2328).","150x"
