"Key","Shared Comments","English(en)"
"events.Levels.GameModifiers.Events.Data.EventBackToBasics.backToBasics","Used in Assets/Features\Levels\GameModifiers\Events\Data\Event_BackToBasics.asset (Title line 15). Keep concise; preserve placeholders like {_TownName}.","Back to Basics"
"events.Levels.GameModifiers.Events.Data.EventBackToBasics.itHasBecomeFashionableAmongstThePeople","Used in Assets/Features\Levels\GameModifiers\Events\Data\Event_BackToBasics.asset (Description line 16). Keep concise; preserve placeholders like {_TownName}.","It has become fashionable amongst the people to strive to live simpler lives."
"events.Levels.GameModifiers.Events.Data.EventBountifulTides.bountifulTides","Used in Assets/Features\Levels\GameModifiers\Events\Data\Event_BountifulTides.asset (Title line 15). Keep concise; preserve placeholders like {_TownName}.","Bountiful Tides"
"events.Levels.GameModifiers.Events.Data.EventBountifulTides.unusuallyRichCurrentsBringFishCloserTo","Used in Assets/Features\Levels\GameModifiers\Events\Data\Event_BountifulTides.asset (Description line 16). Keep concise; preserve placeholders like {_TownName}.","Unusually rich currents bring fish closer to shore."
"events.Levels.GameModifiers.Events.Data.EventContageousLaziness.contageousLaziness","Used in Assets/Features\Levels\GameModifiers\Events\Data\Event_ContageousLaziness.asset (Title line 15). Keep concise; preserve placeholders like {_TownName}.","Contageous Laziness"
"events.Levels.GameModifiers.Events.Data.EventContageousLaziness.peoplesLivesAreBecomingEasyMaybeA","Used in Assets/Features\Levels\GameModifiers\Events\Data\Event_ContageousLaziness.asset (Description line 16). Keep concise; preserve placeholders like {_TownName}.","Peoples lives are becoming easy. Maybe a little too easy. Nobody wants to work hard anymore."
"events.Levels.GameModifiers.Events.Data.EventCraftySnobs.craftySnobs","Used in Assets/Features\Levels\GameModifiers\Events\Data\Event_CraftySnobs.asset (Title line 15). Keep concise; preserve placeholders like {_TownName}.","Crafty Snobs"
"events.Levels.GameModifiers.Events.Data.EventCraftySnobs.theRichEliteIsBecomingUnusuallyCrafty","Used in Assets/Features\Levels\GameModifiers\Events\Data\Event_CraftySnobs.asset (Description line 16). Keep concise; preserve placeholders like {_TownName}.","The rich elite is becoming unusually crafty. Perhaps a new trend to pass the time."
"events.Levels.GameModifiers.Events.Data.EventDryWinds.badWeatherRuinsMuchOfTheSeasonal","Used in Assets/Features\Levels\GameModifiers\Events\Data\Event_DryWinds.asset (Description line 16). Keep concise; preserve placeholders like {_TownName}.","Bad weather ruins much of the seasonal crops."
"events.Levels.GameModifiers.Events.Data.EventDryWinds.dryWinds","Used in Assets/Features\Levels\GameModifiers\Events\Data\Event_DryWinds.asset (Title line 15). Keep concise; preserve placeholders like {_TownName}.","Dry Winds"
"events.Levels.GameModifiers.Events.Data.EventGenerousNobles.generousNobles","Used in Assets/Features\Levels\GameModifiers\Events\Data\Event_GenerousNobles.asset (Title line 15). Keep concise; preserve placeholders like {_TownName}.","Generous Nobles"
"events.Levels.GameModifiers.Events.Data.EventGenerousNobles.theNobilityAroundThesePartsAreIn","Used in Assets/Features\Levels\GameModifiers\Events\Data\Event_GenerousNobles.asset (Description line 16). Keep concise; preserve placeholders like {_TownName}.","The nobility around these parts are in a giving mood and support all towns in their development."
"events.Levels.GameModifiers.Events.Data.EventHeavyRain.heavyRain","Used in Assets/Features\Levels\GameModifiers\Events\Data\Event_HeavyRain.asset (Title line 15). Keep concise; preserve placeholders like {_TownName}.","Heavy Rain"
"events.Levels.GameModifiers.Events.Data.EventHeavyRain.theCloudsAreDarkTheAirIs","Used in Assets/Features\Levels\GameModifiers\Events\Data\Event_HeavyRain.asset (Description line 16). Keep concise; preserve placeholders like {_TownName}.","The clouds are dark, the air is thick. This storm isn't going to end any time soon."
"events.Levels.GameModifiers.Events.Data.EventHorseShortage.horseShortage","Used in Assets/Features\Levels\GameModifiers\Events\Data\Event_HorseShortage.asset (Title line 15). Keep concise; preserve placeholders like {_TownName}.","Horse Shortage"
"events.Levels.GameModifiers.Events.Data.EventHorseShortage.peopleNeedToRideAndTheyTake","Used in Assets/Features\Levels\GameModifiers\Events\Data\Event_HorseShortage.asset (Description line 16). Keep concise; preserve placeholders like {_TownName}.","People need to ride and they take what they can get."
"events.Levels.GameModifiers.Events.Data.EventLandslides.landSlides","Used in Assets/Features\Levels\GameModifiers\Events\Data\Event_Landslides.asset (Title line 15). Keep concise; preserve placeholders like {_TownName}.","Land Slides"
"events.Levels.GameModifiers.Events.Data.EventLandslides.largePartsOfTheMountainsHaveBecome","Used in Assets/Features\Levels\GameModifiers\Events\Data\Event_Landslides.asset (Description line 16). Keep concise; preserve placeholders like {_TownName}.","Large parts of the mountains have become impassable making the mines hardly usable."
"events.Levels.GameModifiers.Events.Data.EventMarketFair.aRegionalFairAttractsTradersAndTravelers","Used in Assets/Features\Levels\GameModifiers\Events\Data\Event_MarketFair.asset (Description line 16). Keep concise; preserve placeholders like {_TownName}.","A regional fair attracts traders and travelers."
"events.Levels.GameModifiers.Events.Data.EventMarketFair.marketFair","Used in Assets/Features\Levels\GameModifiers\Events\Data\Event_MarketFair.asset (Title line 15). Keep concise; preserve placeholders like {_TownName}.","Market Fair"
