"Key","Shared Comments","English(en)"
"goods.Config.AvailabilityConfigData.percentageOfTheMaxAmountOfThe","Used in Assets/Features\Goods\Config\AvailabilityConfigData.cs (C#). Keep concise and natural for players.","Percentage of the max amount of the good."
"goods.Config.AvailabilityResources.abundant","Used in Assets/Features\Goods\Config\AvailabilityResources.asset (DisplayString line 43). Keep concise; preserve placeholders like {_TownName}.","Abundant"
"goods.Config.AvailabilityResources.availability","Used in Assets/Features\Goods\Config\AvailabilityResources.cs (C#). Keep concise and natural for players.","Availability"
"goods.Config.AvailabilityResources.normal","Used in Assets/Features\Goods\Config\AvailabilityResources.asset (DisplayString line 36). Keep concise; preserve placeholders like {_TownName}.","Normal"
"goods.Config.AvailabilityResources.pricesAreALittleHigherKey2","Used in Assets/Features\Goods\Config\AvailabilityResources.asset (Description line 30). Keep concise; preserve placeholders like {_TownName}.","Prices are a little higher. - Key: 2"
"goods.Config.AvailabilityResources.pricesAreALittleLowerKey4","Used in Assets/Features\Goods\Config\AvailabilityResources.asset (Description line 44). Keep concise; preserve placeholders like {_TownName}.","Prices are a little lower. - Key: 4"
"goods.Config.AvailabilityResources.pricesAreALotHigherSellNow","Used in Assets/Features\Goods\Config\AvailabilityResources.asset (Description line 23). Keep concise; preserve placeholders like {_TownName}.","Prices are a lot higher. Sell now! - Key: 1"
"goods.Config.AvailabilityResources.pricesAreNormalKey3","Used in Assets/Features\Goods\Config\AvailabilityResources.asset (Description line 37). Keep concise; preserve placeholders like {_TownName}.","Prices are normal. - Key: 3"
"goods.Config.AvailabilityResources.pricesAreVeryLowBuyNow","Used in Assets/Features\Goods\Config\AvailabilityResources.asset (Description line 51). Keep concise; preserve placeholders like {_TownName}.","Prices are very low. Buy now!"
"goods.Config.AvailabilityResources.resources","Used in Assets/Features\Goods\Config\AvailabilityResources.cs (C#). Keep concise and natural for players.","Resources"
"goods.Config.AvailabilityResources.scarce","Used in Assets/Features\Goods\Config\AvailabilityResources.asset (DisplayString line 29). Keep concise; preserve placeholders like {_TownName}.","Scarce"
"goods.Config.AvailabilityResources.veryAbundant","Used in Assets/Features\Goods\Config\AvailabilityResources.asset (DisplayString line 50). Keep concise; preserve placeholders like {_TownName}.","Very Abundant"
"goods.Config.AvailabilityResources.veryScarce","Used in Assets/Features\Goods\Config\AvailabilityResources.asset (DisplayString line 22). Keep concise; preserve placeholders like {_TownName}.","Very Scarce"
"goods.Config.CaravanResources.cartImages","Used in Assets/Features\Goods\Config\CaravanResources.cs (C#). Keep concise and natural for players.","Cart Images"
"goods.Config.CaravanResources.cartLevel","Used in Assets/Features\Goods\Config\CaravanResources.cs (C#). Keep concise and natural for players.","Cart Level"
"goods.Config.CaravanResources.cartTierIcon","Used in Assets/Features\Goods\Config\CaravanResources.cs (C#). Keep concise and natural for players.","Cart Tier Icon"
"goods.Config.CaravanResources.level","Used in Assets/Features\Goods\Config\CaravanResources.cs (C#). Keep concise and natural for players.","Level"
"goods.Config.Goods.T1Berries.berries","Used in Assets/Features\Goods\Config\Goods\T1_Berries.asset (GoodName line 15). Keep concise; preserve placeholders like {_TownName}.","Berries"
"goods.Config.Goods.T1Clay.clay","Used in Assets/Features\Goods\Config\Goods\T1_Clay.asset (GoodName line 15). Keep concise; preserve placeholders like {_TownName}.","Clay"
"goods.Config.Goods.T1Fish.fish","Used in Assets/Features\Goods\Config\Goods\T1_Fish.asset (GoodName line 15). Keep concise; preserve placeholders like {_TownName}.","Fish"
"goods.Config.Goods.T1Flax.flax","Used in Assets/Features\Goods\Config\Goods\T1_Flax.asset (GoodName line 15). Keep concise; preserve placeholders like {_TownName}.","Flax"
"goods.Config.Goods.T1Grain.grain","Used in Assets/Features\Goods\Config\Goods\T1_Grain.asset (GoodName line 15). Keep concise; preserve placeholders like {_TownName}.","Grain"
"goods.Config.Goods.T1Hay.hay","Used in Assets/Features\Goods\Config\Goods\T1_Hay.asset (GoodName line 15). Keep concise; preserve placeholders like {_TownName}.","Hay"
"goods.Config.Goods.T1Herbs.herbs","Used in Assets/Features\Goods\Config\Goods\T1_Herbs.asset (GoodName line 15). Keep concise; preserve placeholders like {_TownName}.","Herbs"
