"Key","Shared Comments","English(en)"
"levels.Conditions.Config.ConditionResources.conditionData","Used in Assets/Features\Levels\Conditions\Config\ConditionResources.cs (C#). Keep concise and natural for players.","Condition Data"
"levels.Conditions.Config.ConditionResources.type","Used in Assets/Features\Levels\Conditions\Config\ConditionResources.cs (C#). Keep concise and natural for players.","Type"
"levels.Conditions.Data.BankruptcyLossConditionData.youLoseIfYouRunOutOf","Used in Assets/Features\Levels\Conditions\Data\BankruptcyLossConditionData.cs (C#). Keep concise and natural for players.","You lose if you run out of coin"
"levels.Conditions.Data.FundsWinConditionData.accumulateCoin","Used in Assets/Features\Levels\Conditions\Data\FundsWinConditionData.cs (C#). Keep concise and natural for players.","Accumulate {_Value1} coin."
"levels.Conditions.Data.GlobalReputationWinConditionData.reachAnAverageOfReputationAcrossAll","Used in Assets/Features\Levels\Conditions\Data\GlobalReputationWinConditionData.cs (C#). Keep concise and natural for players.","Reach an average of {_Value1} reputation across all towns."
"levels.Conditions.Data.LocalReputationWinConditionData.maintainAReputationOfInAllTowns","Used in Assets/Features\Levels\Conditions\Data\LocalReputationWinConditionData.cs (C#). Keep concise and natural for players.","Maintain a reputation of {_Value1} in all towns."
"levels.Conditions.Data.TimeoutLossConditionData.youLoseAtTheEndOfYear","Used in Assets/Features\Levels\Conditions\Data\TimeoutLossConditionData.cs (C#). Keep concise and natural for players.","You lose at the end of year {_Value1}"
"levels.Conditions.Data.TimeoutLossConditionData.youLoseAtTheStartOfYear","Used in Assets/Features\Levels\Conditions\Data\TimeoutLossConditionData.cs (C#). Keep concise and natural for players.","You lose at the start of year {_Value1}"
"levels.Conditions.Data.TimeoutLossConditionData.youLoseOnDayOfYear","Used in Assets/Features\Levels\Conditions\Data\TimeoutLossConditionData.cs (C#). Keep concise and natural for players.","You lose on day {_Value1} of year {_Value1}"
"levels.Conditions.Data.TownTierWinConditionData.developTownsToTier","Used in Assets/Features\Levels\Conditions\Data\TownTierWinConditionData.cs (C#). Keep concise and natural for players.","Develop {_Value1} towns to Tier {_Value1}."
"levels.Conditions.Model.BankruptcyLossCondition.daysLeftInBankruptcy","Used in Assets/Features\Levels\Conditions\Model\BankruptcyLossCondition.cs (C#). Keep concise and natural for players.","{_Value1} days left in bankruptcy"
"levels.Conditions.Model.BankruptcyLossCondition.yourCoffersAreRunningDryYouHave","Used in Assets/Features\Levels\Conditions\Model\BankruptcyLossCondition.cs (C#). Keep concise and natural for players.","Your coffers are running dry. You have {_Value1} days to put coin back in your purse."
"levels.Conditions.Model.BankruptcyLossCondition.youVeRunOutOfCoinYou","Used in Assets/Features\Levels\Conditions\Model\BankruptcyLossCondition.cs (C#). Keep concise and natural for players.","You've run out of coin! You were bankrupt for more than {_Value1} days."
