"Key","Shared Comments","English(en)"
"menus.Audio.AudioMixerController.interfaceVolume","Used in Assets/Features\Audio\AudioMixerController.cs (C#). Keep concise and natural for players.","InterfaceVolume"
"menus.Audio.AudioMixerController.masterVolume","Used in Assets/Features\Audio\AudioMixerController.cs (C#). Keep concise and natural for players.","MasterVolume"
"menus.Audio.AudioMixerController.musicVolume","Used in Assets/Features\Audio\AudioMixerController.cs (C#). Keep concise and natural for players.","MusicVolume"
"menus.Audio.AudioMixerController.sfxVolume","Used in Assets/Features\Audio\AudioMixerController.cs (C#). Keep concise and natural for players.","SfxVolume"
"menus.Audio.Data.AudioSettingsPersistenceService.audioSettings","Used in Assets/Features\Audio\Data\AudioSettingsPersistenceService.cs (C#). Keep concise and natural for players.","AudioSettings"
"menus.Audio.Music.MusicPlayer.nowPlaying","Used in Assets/Features\Audio\Music\MusicPlayer.cs (C#). Keep concise and natural for players.","{_Value1}: Now playing {_Value1}."
"menus.Audio.Music.MusicPlayer.nowPlaying.6f535d","Used in Assets/Features\Audio\Music\MusicPlayer.cs (C#). Keep concise and natural for players.","{_Value1}: Now playing {_Value1}."
"menus.Audio.Sfx.SfxPlayer.noAudioClipAddedForEffect","Used in Assets/Features\Audio\Sfx\SfxPlayer.cs (C#). Keep concise and natural for players.","No audio clip added for effect '{_Value1}'."
"menus.Audio.UI.AudioSettingsUI.audioSettings","Used in Assets/Features\Audio\UI\AudioSettingsUI.prefab (m_text line 387).","Audio Settings"
"menus.Audio.UI.AudioSlidersUI.audio","Used in Assets/Features\Audio\UI\AudioSlidersUI.prefab (m_text line 156).","Audio"
"menus.Feedback.Logic.FeedbackService.entry1261410891","Used in Assets/Features\Feedback\Logic\FeedbackService.cs (C#). Keep concise and natural for players.","entry.1261410891"
"menus.Feedback.Logic.FeedbackService.entry1538213941","Used in Assets/Features\Feedback\Logic\FeedbackService.cs (C#). Keep concise and natural for players.","entry.1538213941"
"menus.Feedback.Logic.FeedbackService.entry349607095","Used in Assets/Features\Feedback\Logic\FeedbackService.cs (C#). Keep concise and natural for players.","entry.349607095"
"menus.Feedback.Logic.FeedbackService.entry863683456","Used in Assets/Features\Feedback\Logic\FeedbackService.cs (C#). Keep concise and natural for players.","entry.863683456"
"menus.Feedback.Logic.FeedbackService.httpsDocsGoogleComFormsD1tdYh9PE26UMTd05RBw","Used in Assets/Features\Feedback\Logic\FeedbackService.cs (C#). Keep concise and natural for players.","https://docs.google.com/forms/d/1tdYh9PE26UMTd05RBw-yKAGnQdsa6c0-Vo0P0q6g7ak/formResponse"
"menus.Feedback.Logic.FeedbackService.startScreen","Used in Assets/Features\Feedback\Logic\FeedbackService.cs (C#). Keep concise and natural for players.","StartScreen"
"menus.Feedback.Logic.FeedbackService.success","Used in Assets/Features\Feedback\Logic\FeedbackService.cs (C#). Keep concise and natural for players.","Success"
"menus.Feedback.UI.FeedbackButton.couldNotFindAInScene","Used in Assets/Features\Feedback\UI\FeedbackButton.cs (C#). Keep concise and natural for players.","Could not find a {_Value1} in scene."
"menus.Feedback.UI.FeedbackForm.feedback","Used in Assets/Features\Feedback\UI\FeedbackForm.prefab (m_text line 69).","'Feedback:'"
"menus.Feedback.UI.FeedbackForm.nameOptional","Used in Assets/Features\Feedback\UI\FeedbackForm.prefab (m_text line 442).","'Name (optional):'"
"menus.Inventory.SlotBasedInventoryPolicy.thereAreNoMoreEmptySlotsFor","Used in Assets/Features\Inventory\SlotBasedInventoryPolicy.cs (C#). Keep concise and natural for players.","There are no more empty slots for {_Value1}"
"menus.Inventory.SlotCountInventoryPolicy.allInventorySlotsAreFull","Used in Assets/Features\Inventory\SlotCountInventoryPolicy.cs (C#). Keep concise and natural for players.","All {_Value1} inventory slots are full."
"menus.Inventory.TierBasedInventoryPolicy.theTierOfTheGoodIsToo","Used in Assets/Features\Inventory\TierBasedInventoryPolicy.cs (C#). Keep concise and natural for players.","The Tier of the good is too high. Max. allowed Tier: {_MaxTier}"
"menus.Notifications.Logic.NotificationLoggerSystem.notification","Used in Assets/Features\Notifications\Logic\NotificationLoggerSystem.cs (C#). Keep concise and natural for players.","({_Value1}) {_Value1} Notification {_Value1}: {_Value1}"
"menus.Notifications.Logic.NotificationPingSystem.unhandledNotificationPing","Used in Assets/Features\Notifications\Logic\NotificationPingSystem.cs (C#). Keep concise and natural for players.","Unhandled notification ping {_Value1}"
"menus.Notifications.UI.MajorNotificationPanel.descriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription","Used in Assets/Features\Notifications\UI\MajorNotificationPanel.prefab (m_text line 226).","'Description Description Description Description Description Description Description Description Description Description '"
"menus.Notifications.UI.MajorNotificationPanel.eventStartedHorseShortageAsdasdAsdAs","Used in Assets/Features\Notifications\UI\MajorNotificationPanel.prefab (m_text line 545).","'Event started: Horse Shortage asdasd asd as'"
"menus.Notifications.UI.MinorNotificationItem.descriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription","Used in Assets/Features\Notifications\UI\MinorNotificationItem.prefab (m_text line 532).","'Description Description Description Description Description Description Description Description Description Description Description Description Description '"
"menus.Notifications.UI.MinorNotificationItem.gameEventHeavyRainGameEventHeavy","Used in Assets/Features\Notifications\UI\MinorNotificationItem.prefab (m_text line 374).","'Game Event: Heavy Rain Game Event: Heavy Rain Game Event: Heavy Rain'"
"menus.Notifications.UI.MinorNotificationItem.x","Used in Assets/Features\Notifications\UI\MinorNotificationItem.prefab (m_text line 236).","X"
"menus.Notifications.UI.NotifDebugger.newText","Used in Assets/Features\Notifications\UI\NotifDebugger.prefab (m_text line 68).","New Text"
"menus.Settings.UI.EscapeMenu.thisDoesNotSaveYourGameSaving","Used in Assets/Features\Settings\UI\EscapeMenu.prefab (defaultText line 1230).","This does not save your game. Saving is not yet implemented."
"menus.Settings.UI.EscapeMenu.yourFeedbackHasBeenReceivedThankYou","Used in Assets/Features\Settings\UI\EscapeMenu.prefab (m_text line 367).","Your feedback has been received. Thank you!"
"menus.Settings.UI.SettingsSliderGroup.settingABC","Used in Assets/Features\Settings\UI\SettingsSliderGroup.prefab (m_text line 69).","Setting ABC"
