"Key","Shared Comments","English(en)"
"player.Art.CampsitePanelUI.campsite","Used in Assets/Features\Player\Art\Campsite Panel UI.prefab (m_text line 437). Keep concise; preserve placeholders like {_TownName}.","Campsite"
"player.Caravan.Config.CaravanConfig.data","Used in Assets/Features\Player\Caravan\Config\CaravanConfig.cs (C#). Keep concise and natural for players.","Data"
"player.Caravan.Config.CaravanConfig.level","Used in Assets/Features\Player\Caravan\Config\CaravanConfig.cs (C#). Keep concise and natural for players.","Level"
"player.Caravan.Logic.BaseUpkeepModifier.baseUpkeep","Used in Assets/Features\Player\Caravan\Logic\BaseUpkeepModifier.cs (C#). Keep concise and natural for players.","Base Upkeep"
"player.Caravan.Logic.CaravanManager.caravanUpkeep","Used in Assets/Features\Player\Caravan\Logic\CaravanManager.cs (C#). Keep concise and natural for players.","Caravan Upkeep"
"player.Caravan.Logic.CaravanManager.invalidIndexThereAreOnlyCarts","Used in Assets/Features\Player\Caravan\Logic\CaravanManager.cs (C#). Keep concise and natural for players.","Invalid index: {_Value1}. There are only {_Value1} carts."
"player.Caravan.Logic.CaravanManager.invalidLevelMaxLevelIs","Used in Assets/Features\Player\Caravan\Logic\CaravanManager.cs (C#). Keep concise and natural for players.","Invalid level: {_Value1}. Max. level is {_Value1}."
"player.Caravan.Logic.CaravanManager.movementSpeed","Used in Assets/Features\Player\Caravan\Logic\CaravanManager.cs (C#). Keep concise and natural for players.","Movement Speed"
"player.Caravan.Logic.Cart.upgradeCost","Used in Assets/Features\Player\Caravan\Logic\Cart.cs (C#). Keep concise and natural for players.","Upgrade Cost"
"player.Caravan.Logic.CartUpgradeBaseCostModifier.baseUpgradeCostForCartLevel","Used in Assets/Features\Player\Caravan\Logic\CartUpgradeBaseCostModifier.cs (C#). Keep concise and natural for players.","Base upgrade cost for Cart level {_Value1}"
"player.Caravan.Logic.CartUpkeepModifier.upkeepForCartLevel","Used in Assets/Features\Player\Caravan\Logic\CartUpkeepModifier.cs (C#). Keep concise and natural for players.","Upkeep for Cart level {_Value1}"
"player.Caravan.Logic.UpkeepFundsChangeModifier.upkeep","Used in Assets/Features\Player\Caravan\Logic\UpkeepFundsChangeModifier.cs (C#). Keep concise and natural for players.","{_Value1} Upkeep"
"player.Caravan.UI.CaravanMiniUI.0","Used in Assets/Features\Player\Caravan\UI\CaravanMiniUI.cs (C#). Keep concise and natural for players.","0.#"
"player.Caravan.UI.CaravanMiniUI.caravanUpkeep","Used in Assets/Features\Player\Caravan\UI\CaravanMiniUI.prefab (defaultTitle line 887). Keep concise; preserve placeholders like {_TownName}.","Caravan Upkeep"
"player.Caravan.UI.CaravanMiniUI.isOnlyActiveWhenYouAreTraveling","Used in Assets/Features\Player\Caravan\UI\CaravanMiniUI.prefab (defaultDescription line 888). Keep concise; preserve placeholders like {_TownName}.","Is only active when you are traveling between towns."
"player.Caravan.UI.CaravanMiniUI.movementspeed","Used in Assets/Features\Player\Caravan\UI\CaravanMiniUI.prefab (defaultText line 450). Keep concise; preserve placeholders like {_TownName}.","Movementspeed"
"player.Caravan.UI.CaravanMiniUI.pressQ","Used in Assets/Features\Player\Caravan\UI\CaravanMiniUI.prefab (defaultDescription line 508). Keep concise; preserve placeholders like {_TownName}.","'Press [Q]'"
"player.Caravan.UI.CaravanMiniUI.yourCaravan","Used in Assets/Features\Player\Caravan\UI\CaravanMiniUI.prefab (defaultTitle line 507). Keep concise; preserve placeholders like {_TownName}.","Your Caravan"
"player.Caravan.UI.CaravanPanelUI.0","Used in Assets/Features\Player\Caravan\UI\CaravanPanelUI.cs (C#). Keep concise and natural for players.","0.##"
"player.Caravan.UI.CaravanPanelUI.caravan","Used in Assets/Features\Player\Caravan\UI\CaravanPanelUI.prefab (m_text line 578). Keep concise; preserve placeholders like {_TownName}.","Caravan"
"player.Caravan.UI.CaravanPanelUI.noMoreFreeInventoryCellsFound","Used in Assets/Features\Player\Caravan\UI\CaravanPanelUI.cs (C#). Keep concise and natural for players.","No more free inventory cells found!"
"player.Caravan.UI.CaravanPanelUI.transportsYourGoodsFromTownToTown","Used in Assets/Features\Player\Caravan\UI\CaravanPanelUI.prefab (m_text line 715). Keep concise; preserve placeholders like {_TownName}.","Transports your goods from town to town."
"player.Caravan.UI.CartTierDetailsGroup.1","Used in Assets/Features\Player\Caravan\UI\CartTierDetailsGroup.prefab (m_text line 704). Keep concise; preserve placeholders like {_TownName}.","+1"
