"Key","Shared Comments","English(en)"
"startMenu.UI.AllySelectionPanel.chooseYourAllies","Used in Assets/Features\StartMenu\UI\AllySelectionPanel.prefab (m_text line 632).","Choose your Allies"
"startMenu.UI.AllySelectionPanel.youStartWithAGreatReputationIn","Used in Assets/Features\StartMenu\UI\AllySelectionPanel.prefab (m_text line 161).","You start with a great reputation in towns of the selected region. All other regions do not like you however."
"startMenu.UI.AllySelectionToggle.region","Used in Assets/Features\StartMenu\UI\AllySelectionToggle.prefab (m_text line 337).","Region"
"startMenu.UI.LevelButton.comingSoon","Used in Assets/Features\StartMenu\UI\LevelButton.prefab (defaultText line 86).","Coming soon"
"startMenu.UI.LevelInfoBox.bestTimeDay365OfYear3","Used in Assets/Features\StartMenu\UI\LevelInfoBox.prefab (m_text line 1105).","'Best Time: Day 365 of Year 3'"
"startMenu.UI.LevelInfoBox.difficultyWithColorDifficultyColor","Used in Assets/Features\StartMenu\UI\LevelInfoBox.cs (C#). Keep concise and natural for players.","Difficulty: <Difficulty>.WithColor(Difficulty.Color)"
"startMenu.UI.LevelInfoBox.lossConditions","Used in Assets/Features\StartMenu\UI\LevelInfoBox.prefab (m_text line 834).","Loss Conditions"
"startMenu.UI.LevelInfoBox.winConditions","Used in Assets/Features\StartMenu\UI\LevelInfoBox.prefab (m_text line 68).","Win Conditions"
"startMenu.UI.LevelLoader.loadingLevel","Used in Assets/Features\StartMenu\UI\LevelLoader.cs (C#). Keep concise and natural for players.","Loading level {_Value1}..."
"startMenu.UI.LevelSelection.v012","Used in Assets/Features\StartMenu\UI\LevelSelection.prefab (m_text line 162).","v. 0.1.2"
"startMenu.UI.PressAnyKeyScreen.pressAnyKeyToStart","Used in Assets/Features\StartMenu\UI\PressAnyKeyScreen.prefab (m_text line 194).","Press any key to start"
"startMenu.UI.VersionText.v","Used in Assets/Features\StartMenu\UI\VersionText.cs (C#). Keep concise and natural for players.","v. {_Value1}"
