"Key","Shared Comments","English(en)"
"towns.Config.TownConfig.consumptionDay","Used in Assets/Features\Towns\Config\TownConfig.cs (C#). Keep concise and natural for players.","Consumption /day"
"towns.Config.TownConfig.consumptionRates","Used in Assets/Features\Towns\Config\TownConfig.cs (C#). Keep concise and natural for players.","Consumption Rates"
"towns.Config.TownConfig.fundsDay","Used in Assets/Features\Towns\Config\TownConfig.cs (C#). Keep concise and natural for players.","Funds /day"
"towns.Config.TownConfig.goodTier","Used in Assets/Features\Towns\Config\TownConfig.cs (C#). Keep concise and natural for players.","Good Tier"
"towns.Config.TownConfig.inventorySlots","Used in Assets/Features\Towns\Config\TownConfig.cs (C#). Keep concise and natural for players.","Inventory Slots"
"towns.Config.TownConfig.townTier","Used in Assets/Features\Towns\Config\TownConfig.cs (C#). Keep concise and natural for players.","Town Tier"
"towns.Config.TownGoodConfigTableDrawer.goodTier","Used in Assets/Features\Towns\Config\TownGoodConfigTableDrawer.cs (C#). Keep concise and natural for players.","Good Tier {_Value1}"
"towns.Config.TownGoodConfigTableDrawer.tier1Town","Used in Assets/Features\Towns\Config\TownGoodConfigTableDrawer.cs (C#). Keep concise and natural for players.","Tier 1 Town"
"towns.Config.TownGoodConfigTableDrawer.tier2Town","Used in Assets/Features\Towns\Config\TownGoodConfigTableDrawer.cs (C#). Keep concise and natural for players.","Tier 2 Town"
"towns.Config.TownGoodConfigTableDrawer.tier3Town","Used in Assets/Features\Towns\Config\TownGoodConfigTableDrawer.cs (C#). Keep concise and natural for players.","Tier 3 Town"
"towns.Config.TownResources.descriptor","Used in Assets/Features\Towns\Config\TownResources.cs (C#). Keep concise and natural for players.","Descriptor"
"towns.Config.TownResources.nameGenerator","Used in Assets/Features\Towns\Config\TownResources.cs (C#). Keep concise and natural for players.","Name Generator"
"towns.Config.TownResources.region","Used in Assets/Features\Towns\Config\TownResources.cs (C#). Keep concise and natural for players.","Region"
"towns.Config.TownResources.townTier","Used in Assets/Features\Towns\Config\TownResources.cs (C#). Keep concise and natural for players.","Town Tier"
"towns.ConsumptionSystem.aProductionTickerHasAlreadyBeenAdded","Used in Assets/Features\Towns\ConsumptionSystem.cs (C#). Keep concise and natural for players.","A production ticker has already been added for '{_Value1}'"
"towns.ConsumptionSystem.couldNotFindConsumptionTickerForGood","Used in Assets/Features\Towns\ConsumptionSystem.cs (C#). Keep concise and natural for players.","Could not find consumption ticker for good '{_Value1}'"
"towns.Development.Config.DevelopmentMilestoneData.text","Used in Assets/Features\Towns\Development\Config\DevelopmentMilestoneData.cs (C#). Keep concise and natural for players.","- {_Value1}"
"towns.Development.Config.DevelopmentMilestoneDataSet.activationThreshold","Used in Assets/Features\Towns\Development\Config\DevelopmentMilestoneDataSet.cs (C#). Keep concise and natural for players.","Activation Threshold"
"towns.Development.Config.DevelopmentMilestoneDataSet.milestoneData","Used in Assets/Features\Towns\Development\Config\DevelopmentMilestoneDataSet.cs (C#). Keep concise and natural for players.","Milestone Data"
"towns.Development.Config.Milestones.DividendsUpgradeData.receiveOfTheTownsCoinProduction","Used in Assets/Features\Towns\Development\Config\Milestones\DividendsUpgradeData.cs (C#). Keep concise and natural for players.","Receive {_Value1} of the towns coin production."
"towns.Development.Config.Milestones.FundsBoostUpgradeData.increasesTheTownsCoinProductionBy","Used in Assets/Features\Towns\Development\Config\Milestones\FundsBoostUpgradeData.cs (C#). Keep concise and natural for players.","Increases the towns coin production by {_Value1}."
"towns.Development.Config.Milestones.PriceBoostUpgradeData.improvesTheTownsPricesBy","Used in Assets/Features\Towns\Development\Config\Milestones\PriceBoostUpgradeData.cs (C#). Keep concise and natural for players.","Improves the towns prices by {_Value1}."
"towns.Development.Config.Milestones.ProductionBoostUpgradeData.boostsTheTownsGoodProductionBy","Used in Assets/Features\Towns\Development\Config\Milestones\ProductionBoostUpgradeData.cs (C#). Keep concise and natural for players.","Boosts the towns good production by {_Value1}."
"towns.Development.Config.Milestones.SelfSufficienyUpgradeData.theTownWillNoLongerDeclineOver","Used in Assets/Features\Towns\Development\Config\Milestones\SelfSufficienyUpgradeData.cs (C#). Keep concise and natural for players.","The town will no longer decline over time."
"towns.Development.Config.TownDevelopmentConfig.config","Used in Assets/Features\Towns\Development\Config\TownDevelopmentConfig.cs (C#). Keep concise and natural for players.","Config"
"towns.Development.Config.TownDevelopmentConfig.growthTrend","Used in Assets/Features\Towns\Development\Config\TownDevelopmentConfig.cs (C#). Keep concise and natural for players.","Growth Trend"
"towns.Development.Logic.BaseDegrowthModifier.baseDegrowthForATown","Used in Assets/Features\Towns\Development\Logic\BaseDegrowthModifier.cs (C#). Keep concise and natural for players.","Base degrowth for a {_Value1} town"
"towns.Development.Logic.DevelopmentManager.developmentTrend","Used in Assets/Features\Towns\Development\Logic\DevelopmentManager.cs (C#). Keep concise and natural for players.","Development Trend"
"towns.Development.Logic.Milestones.DevelopmentMilestoneSystem.upgradesWereNullEmptyForTierAt","Used in Assets/Features\Towns\Development\Logic\Milestones\DevelopmentMilestoneSystem.cs (C#). Keep concise and natural for players.","upgrades were null/empty for Tier {_CurrentTier} at score {_Value1}."
"towns.Development.Logic.Milestones.DividendsFundsModifier.dividendsOfSFunds","Used in Assets/Features\Towns\Development\Logic\Milestones\DividendsFundsModifier.cs (C#). Keep concise and natural for players.","Dividends: {_Value1} of {_Value1}s funds"
"towns.Development.Logic.Milestones.MilestoneFundsBoostModifier.milestone","Used in Assets/Features\Towns\Development\Logic\Milestones\MilestoneFundsBoostModifier.cs (C#). Keep concise and natural for players.","Milestone"
"towns.Development.Logic.Milestones.MilestoneModifierSystem.failedToApplyUnhandledUpgrade","Used in Assets/Features\Towns\Development\Logic\Milestones\MilestoneModifierSystem.cs (C#). Keep concise and natural for players.","Failed to apply unhandled upgrade {_Value1}."
"towns.Development.Logic.Milestones.MilestonePriceBoostModifier.milestone","Used in Assets/Features\Towns\Development\Logic\Milestones\MilestonePriceBoostModifier.cs (C#). Keep concise and natural for players.","Milestone"
"towns.Development.Logic.Milestones.MilestoneProductionBoostModifier.milestone","Used in Assets/Features\Towns\Development\Logic\Milestones\MilestoneProductionBoostModifier.cs (C#). Keep concise and natural for players.","Milestone"
"towns.Development.Logic.StoredGoodsDevelopmentModifier.foreignGoodsInStorage","Used in Assets/Features\Towns\Development\Logic\StoredGoodsDevelopmentModifier.cs (C#). Keep concise and natural for players.","{_Value1} {_Value1} foreign goods in storage."
"towns.Development.UI.DevelopmentMilestoneTooltip.10ExtraSomething","Used in Assets/Features\Towns\Development\UI\DevelopmentMilestoneTooltip.prefab (m_text line 270).","'- 10% extra something"
"towns.Development.UI.DevelopmentMilestoneTooltip.milestone","Used in Assets/Features\Towns\Development\UI\DevelopmentMilestoneTooltip.prefab (m_text line 520).","Milestone"
"towns.Development.UI.DevelopmentMilestoneTooltip.unlockedAtDevelopment50","Used in Assets/Features\Towns\Development\UI\DevelopmentMilestoneTooltip.prefab (m_text line 132).","Unlocked at development 50%."
"towns.Development.UI.DevelopmentMilestoneTooltip.unlocksAtDevelopment","Used in Assets/Features\Towns\Development\UI\DevelopmentMilestoneTooltip.cs (C#). Keep concise and natural for players.","Unlocks at development {_Value1}"
"towns.Flags.Config.FlagResources.flagColor","Used in Assets/Features\Towns\Flags\Config\FlagResources.cs (C#). Keep concise and natural for players.","Flag Color"
"towns.Flags.Config.FlagResources.icon","Used in Assets/Features\Towns\Flags\Config\FlagResources.cs (C#). Keep concise and natural for players.","Icon"
"towns.Flags.Config.FlagResources.iconColor","Used in Assets/Features\Towns\Flags\Config\FlagResources.cs (C#). Keep concise and natural for players.","Icon Color"
"towns.Flags.Config.FlagResources.region","Used in Assets/Features\Towns\Flags\Config\FlagResources.cs (C#). Keep concise and natural for players.","Region"
"towns.Flags.Test.FlagTestGrid.flag","Used in Assets/Features\Towns\Flags\Test\FlagTestGrid.cs (C#). Keep concise and natural for players.","Flag_{_Value1}_{_Value1}"
"towns.Flags.Test.FlagTestGrid.reGenerateGrid","Used in Assets/Features\Towns\Flags\Test\FlagTestGrid.cs (C#). Keep concise and natural for players.","Re-Generate Grid"
"towns.Initialization.CustomProductionInitData.good","Used in Assets/Features\Towns\Initialization\CustomProductionInitData.cs (C#). Keep concise and natural for players.","Good"
"towns.Initialization.CustomProductionInitData.startAmount","Used in Assets/Features\Towns\Initialization\CustomProductionInitData.cs (C#). Keep concise and natural for players.","Start Amount"
"towns.Missions.Mission.missionX","Used in Assets/Features\Towns\Missions\Mission.cs (C#). Keep concise and natural for players.","{_Value1} Mission: {_Value1} x{_Value1}."
"towns.Missions.MissionFailedNotification.missionFailed","Used in Assets/Features\Towns\Missions\MissionFailedNotification.cs (C#). Keep concise and natural for players.","Mission failed: {_Value1}"
"towns.Missions.MissionFailedNotification.youDidNotDeliverEnoughInTime","Used in Assets/Features\Towns\Missions\MissionFailedNotification.cs (C#). Keep concise and natural for players.","You did not deliver enough {_Value1} in time. {_Value1} is not happy."
"towns.Missions.MissionModel.failedToAddMissionMissionForIs","Used in Assets/Features\Towns\Missions\MissionModel.cs (C#). Keep concise and natural for players.","Failed to add mission. Mission for {_Value1} is already added."
"towns.Missions.MissionModel.failedToRemoveMissionNoMissionFound","Used in Assets/Features\Towns\Missions\MissionModel.cs (C#). Keep concise and natural for players.","Failed to remove mission. No mission found for {_Value1}."
"towns.Missions.MissionStartedNotification.deliverXBefore","Used in Assets/Features\Towns\Missions\MissionStartedNotification.cs (C#). Keep concise and natural for players.","Deliver {_Value1}x {_Value1} before {_Value1}."
"towns.Missions.MissionStartedNotification.startedWants","Used in Assets/Features\Towns\Missions\MissionStartedNotification.cs (C#). Keep concise and natural for players.","{_Value1} started: {_Value1} wants {_Value1}."
"towns.Missions.MissionStartedNotification.tradeMission","Used in Assets/Features\Towns\Missions\MissionStartedNotification.cs (C#). Keep concise and natural for players.","Trade Mission"
"towns.Missions.MissionStartedNotification.upgradeMission","Used in Assets/Features\Towns\Missions\MissionStartedNotification.cs (C#). Keep concise and natural for players.","Upgrade Mission"
"towns.Missions.MissionSystem.missionIn","Used in Assets/Features\Towns\Missions\MissionSystem.cs (C#). Keep concise and natural for players.","Mission in {_Value1}: {_Value1}"
"towns.Missions.Results.MissionResultHandler.youFailedToSupplyInTime","Used in Assets/Features\Towns\Missions\Results\MissionResultHandler.cs (C#). Keep concise and natural for players.","You failed to supply {_Value1} in time."
"towns.Missions.Results.MissionResultHandler.youSuppliedWithTheGoodsTheyWanted","Used in Assets/Features\Towns\Missions\Results\MissionResultHandler.cs (C#). Keep concise and natural for players.","You supplied {_Value1} with the goods they wanted."
"towns.Missions.UI.MissionTooltip.coin","Used in Assets/Features\Towns\Missions\UI\MissionTooltip.cs (C#). Keep concise and natural for players.","{_Value1} coin"
"towns.Missions.UI.MissionTooltip.completingThisMissionWillUpgradeThisTown","Used in Assets/Features\Towns\Missions\UI\MissionTooltip.prefab (m_text line 425).","Completing this mission will upgrade this town to the next tier."
"towns.Missions.UI.MissionTooltip.growth","Used in Assets/Features\Towns\Missions\UI\MissionTooltip.cs (C#). Keep concise and natural for players.","{_Value1} growth"
"towns.Missions.UI.MissionTooltip.growth.1fe2bb","Used in Assets/Features\Towns\Missions\UI\MissionTooltip.cs (C#). Keep concise and natural for players.","+{_Value1} growth"
"towns.Missions.UI.MissionTooltip.reputation","Used in Assets/Features\Towns\Missions\UI\MissionTooltip.cs (C#). Keep concise and natural for players.","{_Value1} reputation"
"towns.Missions.UI.MissionTooltip.reputation.e88af4","Used in Assets/Features\Towns\Missions\UI\MissionTooltip.cs (C#). Keep concise and natural for players.","+{_Value1} reputation"
"towns.Missions.UI.MissionTooltip.tradeMission","Used in Assets/Features\Towns\Missions\UI\MissionTooltip.cs (C#). Keep concise and natural for players.","Trade Mission"
"towns.Missions.UI.MissionTooltip.upgradeMission","Used in Assets/Features\Towns\Missions\UI\MissionTooltip.cs (C#). Keep concise and natural for players.","Upgrade Mission"
"towns.Missions.UI.MissionTooltipDetailElement.thisIsTheText","Used in Assets/Features\Towns\Missions\UI\MissionTooltipDetailElement.prefab (m_text line 165).","This is the text."
"towns.Missions.UI.MissionTooltipDetailsGroup.onSuccess","Used in Assets/Features\Towns\Missions\UI\MissionTooltipDetailsGroup.prefab (m_text line 164).","On Success"
