"Key","Shared Comments","English(en)"
"tutorial.Data.Chapters.TutorialTopicCaravan.asYouMakeMoreMoneyAndExpand","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Caravan.asset (Description line 18). Keep concise; preserve placeholders like {_TownName}.","'As you make more money and expand your trade network you will develop the need to move faster and haul more goods."
"tutorial.Data.Chapters.TutorialTopicCaravan.caravan","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Caravan.asset (Title line 15). Keep concise; preserve placeholders like {_TownName}.","Caravan"
"tutorial.Data.Chapters.TutorialTopicControls.controlsTheWorldMap","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Controls.asset (Title line 15). Keep concise; preserve placeholders like {_TownName}.","Controls & the World Map"
"tutorial.Data.Chapters.TutorialTopicControls.leftClickTownsAndProductionZonesTo","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Controls.asset (Description line 31). Keep concise; preserve placeholders like {_TownName}.","' Left-click towns and production zones to inspect their details.'"
"tutorial.Data.Chapters.TutorialTopicControls.moveTheCameraWithWASDHoldThe","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Controls.asset (Description line 18). Keep concise; preserve placeholders like {_TownName}.","'Move the camera with WASD. Hold the middle mouse button to pan the view."
"tutorial.Data.Chapters.TutorialTopicControls.rightClickOnATownToMove","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Controls.asset (Description line 27). Keep concise; preserve placeholders like {_TownName}.","Right-click on a town to move your caravan there. Travel takes time and costs upkeep."
"tutorial.Data.Chapters.TutorialTopicDevelopment.eachTownHasADevelopmentGaugeThat","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Development.asset (Description line 18). Keep concise; preserve placeholders like {_TownName}.","'Each town has a development gauge that reflects its growth over time. Supplying foreign goods, completing missions and financing production buildings increases the towns development trend."
"tutorial.Data.Chapters.TutorialTopicDevelopment.toHelpATownAdvanceToThe","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Development.asset (Description line 38). Keep concise; preserve placeholders like {_TownName}.","'To help a town advance to the next tier, you must fulfill its upgrade missions. These become available once the town reaches a development of 100."
"tutorial.Data.Chapters.TutorialTopicDevelopment.townDevelopment","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Development.asset (Title line 15). Keep concise; preserve placeholders like {_TownName}.","Town Development"
"tutorial.Data.Chapters.TutorialTopicDevelopment.townsWillOccasionallyStartTradeMissionsWhere","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Development.asset (Description line 27). Keep concise; preserve placeholders like {_TownName}.","'Towns will occasionally start trade missions, where they specific goods."
"tutorial.Data.Chapters.TutorialTopicIntro.cartsDetermineHowMuchYouCanCarry","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset (Description line 43). Keep concise; preserve placeholders like {_TownName}.","Carts determine how much you can carry and how fast you travel. The better your carts, the more you can carry but the higher is also your upkeep."
"tutorial.Data.Chapters.TutorialTopicIntro.eachTownProducesCertainGoodsBasedOn","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset (Description line 38). Keep concise; preserve placeholders like {_TownName}.","Each town produces certain goods based on the resources of nearby regions. Supplying towns with what they lack helps them grow, unlock better production bulidings and trade opportunities."
"tutorial.Data.Chapters.TutorialTopicIntro.ifYouEverWonderHowThingsWork","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset (Description line 52). Keep concise; preserve placeholders like {_TownName}.","If you ever wonder how things work, look out for buttons with question marks. They open further tutorials."
"tutorial.Data.Chapters.TutorialTopicIntro.intro","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset (Title line 15). Keep concise; preserve placeholders like {_TownName}.","Intro"
"tutorial.Data.Chapters.TutorialTopicIntro.pricesAreDrivenBySupplyAndDemand","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset (Description line 30). Keep concise; preserve placeholders like {_TownName}.","'Prices are driven by supply and demand as well as a variety of other factors. Make sure to pay attention to current events in the game."
"tutorial.Data.Chapters.TutorialTopicIntro.thanksForPlayingMedievalMerchant","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset (Description line 18). Keep concise; preserve placeholders like {_TownName}.","'Thanks for playing Medieval Merchant!"
"tutorial.Data.Chapters.TutorialTopicIntro.thatIsAllForNow","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset (Description line 56). Keep concise; preserve placeholders like {_TownName}.","'That is all for now :)"
"tutorial.Data.Chapters.TutorialTopicIntro.toWinYouNeedToSatisfyAll","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset (Description line 48). Keep concise; preserve placeholders like {_TownName}.","To win you need to satisfy all win conditions and manage to not trigger any losing condition."
"tutorial.Data.Chapters.TutorialTopicIntro.youCanBuyGoodsThatTownsProduce","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset (Description line 25). Keep concise; preserve placeholders like {_TownName}.","You can buy goods that towns produce and sell them to other towns. You find your inventory on the left and the towns inventory and production buildings on the right of the screen."
"tutorial.Data.Chapters.TutorialTopicProduction.tierIBuildingsCanBeBuiltBased","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Production.asset (Description line 27). Keep concise; preserve placeholders like {_TownName}.","'Tier I buildings can be built based on the towns neighboring regions."
"tutorial.Data.Chapters.TutorialTopicProduction.townProduction","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Production.asset (Title line 15). Keep concise; preserve placeholders like {_TownName}.","Town Production"
"tutorial.Data.Chapters.TutorialTopicProduction.youCanFinanceProductionBuildingsInTowns","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Production.asset (Description line 18). Keep concise; preserve placeholders like {_TownName}.","'You can finance production buildings in towns to make them produce goods and raise development."
"tutorial.Data.Chapters.TutorialTopicRetinue.retinue","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Retinue.asset (Title line 15). Keep concise; preserve placeholders like {_TownName}.","Retinue"
"tutorial.Data.Chapters.TutorialTopicRetinue.youCanRecruitCompanionsToYourRetinue","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Retinue.asset (Description line 18). Keep concise; preserve placeholders like {_TownName}.","'You can recruit companions to your retinue. Each companion provides unique bonuses which affect your ability to trade, travel and advance in various ways."
"tutorial.Data.Chapters.TutorialTopicTowns.eachTownHasADevelopmentGaugeThat","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset (Description line 23). Keep concise; preserve placeholders like {_TownName}.","'Each town has a development gauge that reflects its growth over time. Supplying foreign goods, completing missions and building production increases the towns development trend."
"tutorial.Data.Chapters.TutorialTopicTowns.tierIBuildingsCanBeBuiltBased","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset (Description line 62). Keep concise; preserve placeholders like {_TownName}.","'Tier I buildings can be built based on the towns neighboring regions."
"tutorial.Data.Chapters.TutorialTopicTowns.toHelpATownAdvanceToThe","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset (Description line 37). Keep concise; preserve placeholders like {_TownName}.","'To help a town advance to the next tier, you must complete its upgrade missions. These become available once the town reaches a development of 100."
"tutorial.Data.Chapters.TutorialTopicTowns.towns","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset (Title line 15). Keep concise; preserve placeholders like {_TownName}.","Towns"
"tutorial.Data.Chapters.TutorialTopicTowns.townsAreYourWayOfWinningGames","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset (Description line 18). Keep concise; preserve placeholders like {_TownName}.","Towns are your way of winning games. You will trade with them, get them on your side, complete their missions and help them develop and prosper."
"tutorial.Data.Chapters.TutorialTopicTowns.townsRememberHowYouTreatThemTheir","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset (Description line 45). Keep concise; preserve placeholders like {_TownName}.","'Towns remember how you treat them. Their opinion of you changes with each trade and as you help them develop or choose to neglect them."
"tutorial.Data.Chapters.TutorialTopicTowns.townsWillOccasionallyStartTradeMissionsWhere","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset (Description line 32). Keep concise; preserve placeholders like {_TownName}.","Towns will occasionally start trade missions where they request specific goods. Fulfilling these requests will aid their development. Failing to supply requested goods in time will set the town back however."
"tutorial.Data.Chapters.TutorialTopicTowns.youCanFinanceProductionBuildingsInTowns","Used in Assets/Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset (Description line 53). Keep concise; preserve placeholders like {_TownName}.","'You can finance production buildings in towns to make them produce goods and raise development."
"tutorial.Data.TutorialResources.data","Used in Assets/Features\Tutorial\Data\TutorialResources.cs (C#). Keep concise and natural for players.","Data"
"tutorial.Data.TutorialResources.topic","Used in Assets/Features\Tutorial\Data\TutorialResources.cs (C#). Keep concise and natural for players.","Topic"
"tutorial.Logic.TutorialPersistenceService.tutorial","Used in Assets/Features\Tutorial\Logic\TutorialPersistenceService.cs (C#). Keep concise and natural for players.","Tutorial"
"tutorial.Onboarding.Logic.OnboardingController.buildBerryPickerIn","Used in Assets/Features\Tutorial\Onboarding\Logic\OnboardingController.cs (C#). Keep concise and natural for players.","Build berry picker in {_Value1}"
"tutorial.Onboarding.Logic.OnboardingController.buy15HayIn","Used in Assets/Features\Tutorial\Onboarding\Logic\OnboardingController.cs (C#). Keep concise and natural for players.","Buy 15 Hay in {_Value1}"
"tutorial.Onboarding.Logic.OnboardingController.buyBerriesIn","Used in Assets/Features\Tutorial\Onboarding\Logic\OnboardingController.cs (C#). Keep concise and natural for players.","Buy {_Value1} berries in {_Value1}."
"tutorial.Onboarding.Logic.OnboardingController.buyWildGameIn","Used in Assets/Features\Tutorial\Onboarding\Logic\OnboardingController.cs (C#). Keep concise and natural for players.","Buy {_Value1} wild game in {_Value1}."
"tutorial.Onboarding.Logic.OnboardingController.sell15HayIn","Used in Assets/Features\Tutorial\Onboarding\Logic\OnboardingController.cs (C#). Keep concise and natural for players.","Sell 15 Hay in {_Value1}"
"tutorial.Onboarding.Logic.OnboardingController.sell20WildGameIn","Used in Assets/Features\Tutorial\Onboarding\Logic\OnboardingController.cs (C#). Keep concise and natural for players.","Sell 20 wild game in {_Value1}."
"tutorial.Onboarding.Logic.OnboardingController.sell30BerriesIn","Used in Assets/Features\Tutorial\Onboarding\Logic\OnboardingController.cs (C#). Keep concise and natural for players.","Sell 30 berries in {_Value1}."
