Key,Id,Shared Comments,English(en),English(en) Comments,French(fr),French(fr) Comments,German(de),German(de) Comments
"Conditions.Bankruptcy.Description",858432430080,"","You lose if you run out of coin","","","","",""
"Conditions.Bankruptcy.Warning",858440818688,"","Your coffers are running dry. You have {0} days to put coin back in your purse.","","","","",""
"Conditions.Bankruptcy.GameOver",858440818689,"","You've run out of coin! You were bankrupt for more than {0} days.","","","","",""
"Conditions.Bankruptcy.Progress",858440818690,"","{0} days left in bankruptcy","","","","",""
"Conditions.Timeout.StartOfYear",858440818691,"","You lose at the start of year {0}","","","","",""
"Conditions.Timeout.EndOfYear",858440818692,"","You lose at the end of year {0}","","","","",""
"Conditions.Timeout.DayOfYear",858440818693,"","You lose on day {0} of year {1}","","","","",""
"Conditions.Timeout.Warning",858440818694,"","You're running out of time! You have {0} days left to win.","","","","",""
"Conditions.Timeout.GameOver",858440818695,"","You've run out of time! You had until {0} to win.","","","","",""
"Conditions.Timeout.Progress",858440818696,"","{0} days left","","","","",""
"Conditions.TownTier",858440818697,"","Develop {0} towns to tier {1}.","","","","",""
"Conditions.Funds",858440818698,"","Accumulate {0} coin.","","","","",""
"Conditions.LocalReputation",858440818699,"","Maintain a reputation of {0} in all towns.","","","","",""
"Conditions.GlobalReputation",858440818700,"","Reach an average of {0} reputation across all towns.","","","","",""
"Conditions.LossImminent",858440818701,"","Loss Imminent","","","","",""
"Conditions.WinConditions.Title",858440818702,"","Win Conditions","","","","",""
"Conditions.LossConditions.Title",858440818703,"","Loss Conditions","","","","",""
"Conditions.LevelModifier",858440818704,"","Level Modifier","","","","",""
