Key,Id,Shared Comments,English(en),English(en) Comments,French(fr),French(fr) Comments,German(de),German(de) Comments
"Goods.AllRegions",805680668673,"","all regions","","","","",""
"Goods.AllTiers",805680668672,"","all","","","","",""
"Goods.Availability.Abundant.Description",805684863017,"","Prices are a little lower.","","","","",""
"Goods.Availability.Abundant.Name",805684863016,"","Abundant","","","","",""
"Goods.Availability.Normal.Description",805684863015,"","Prices are normal.","","","","",""
"Goods.Availability.Normal.Name",805684863014,"","Normal","","","","",""
"Goods.Availability.Scarce.Description",805684863013,"","Prices are a little higher.","","","","",""
"Goods.Availability.Scarce.Name",805684863012,"","Scarce","","","","",""
"Goods.Availability.VeryAbundant.Description",805684863019,"","Prices are very low. Buy now!","","","","",""
"Goods.Availability.VeryAbundant.Name",805684863018,"","Very Abundant","","","","",""
"Goods.Availability.VeryScarce.Description",805684863011,"","Prices are a lot higher. Sell now!","","","","",""
"Goods.Availability.VeryScarce.Name",805684863010,"","Very Scarce","","","","",""
"Goods.Good.Berries.Building",805680668678,"","Berry Picker","","","","",""
"Goods.Good.Berries.Name",805680668677,"","Berries","","","","",""
"Goods.Good.BerryWine.Building",805680668710,"","Wine Brewery","","","","",""
"Goods.Good.BerryWine.Name",805680668709,"","Berry Wine","","","","",""
"Goods.Good.Bread.Building",805684862991,"","Bakery","","","","",""
"Goods.Good.Bread.Name",805684862990,"","Bread","","","","",""
"Goods.Good.Bricks.Building",805680668712,"","Brick Kiln","","","","",""
"Goods.Good.Bricks.Name",805680668711,"","Bricks","","","","",""
"Goods.Good.Ceramics.Building",805684862993,"","Pottery","","","","",""
"Goods.Good.Ceramics.Name",805684862992,"","Ceramics","","","","",""
"Goods.Good.Clay.Building",805680668680,"","Clay Pit","","","","",""
"Goods.Good.Clay.Name",805680668679,"","Clay","","","","",""
"Goods.Good.CutStone.Building",805680668714,"","Stone Mason","","","","",""
"Goods.Good.CutStone.Name",805680668713,"","Cut Stone","","","","",""
"Goods.Good.DriedFish.Building",805680668716,"","Smokery","","","","",""
