Key,Id,Shared Comments,English(en),English(en) Comments,French(fr),French(fr) Comments,German(de),German(de) Comments
"Menus.Campsite",1064582471710,"","Campsite","","","","",""
"Menus.Credits.Role.AdditionalArt",9112017395712,"","Additional Art","",,,,
"Menus.Credits.Role.Music",9044929503232,"","Music","",,,,
"Menus.Credits.Role.Natalie",9007323373568,"","Art, UI Design","",,,,
"Menus.Credits.Role.Tom",1064582471707,"","Programming, Game Design, UI Design","","","","",""
"Menus.Credits.Role.Translation.French",9079779975168,"","Translations - French","",,,,
"Menus.Credits.Title",1064582471706,"","Credits","","","","",""
"Menus.Escape.FeedbackThankYou",1064582471708,"","Your feedback has been received. Thank you!","","","","",""
"Menus.Escape.GiveUp",1064582471694,"","Give Up","","","","",""
"Menus.Escape.Resume",1064582471693,"","Resume","","","","",""
"Menus.Escape.Title",1064582471692,"","Paused","","","","",""
"Menus.Feedback.Acknowledgement",1064582471695,"","Feedback received!","","","","",""
"Menus.Feedback.Cancel",1064582471704,"","Cancel","","","","",""
"Menus.Feedback.Description",1064582471700,"","Send Feedback","","","","",""
"Menus.Feedback.MessagePlaceholder",1064582471702,"","Your feedback...","","","","",""
"Menus.Feedback.NamePlaceholder",1064582471701,"","Your name (optional)","","","","",""
"Menus.Feedback.Submit",1064582471703,"","Submit","","","","",""
"Menus.Feedback.Title",1064582471688,"","Feedback","","","","",""
"Menus.GameOver.BackToMainMenu",1064582471684,"","Back to Main Menu","","","","",""
"Menus.GameOver.FavoriteGood",1064582471683,"","{0} (traded {1} times)","","","","",""
"Menus.GameOver.LossMessage",1064582471682,"","You failed to complete {0}","","","","",""
"Menus.GameOver.Title.Loss",1064582471680,"","Game Over!","","","","",""
"Menus.GameOver.Title.Win",1064569888768,"","Level Finished!","","","","",""
"Menus.GameOver.WinMessage",1064582471681,"","Congratulations! You successfully completed {0}","","","","",""
"Menus.ProductionChains",1064582471709,"","Production Chains","","","","",""
"Menus.Settings.InterfaceVolume",1064582471699,"","Interface Volume","","","","",""
"Menus.Settings.MasterVolume",1064582471696,"","Master Volume","","","","",""
"Menus.Settings.MusicVolume",1064582471697,"","Music Volume","","","","",""
"Menus.Settings.SfxVolume",1064582471698,"","SFX Volume","","","","",""
"Menus.Start.Continue",1064582471686,"","Continue","","","","",""
"Menus.Start.Play",1064582471685,"","Play","","","","",""
"Menus.Start.PressAnyKey",1064582471705,"","Press any key to start","","","","",""
"Menus.Start.Quit",1064582471689,"","Quit","","","","",""
"Menus.Start.Settings",1064582471690,"","Settings","","","","",""
"Menus.Start.Start",1064582471691,"","Start","","","","",""
"Menus.Credits.Role.SpecialThanks",9140052123648,"",,,,,,
