Key,Id,Shared Comments,English(en),English(en) Comments,French(fr),French(fr) Comments,German(de),German(de) Comments
"Modifiers.Event.BackToBasics.Title",1036262531072,"","Back to Basics","","","","",""
"Modifiers.Event.BackToBasics.Description",1036275113984,"","It has become fashionable amongst the people to strive to live simpler lives.","","","","",""
"Modifiers.Event.BountifulTides.Title",1036275113985,"","Bountiful Tides","","","","",""
"Modifiers.Event.BountifulTides.Description",1036275113986,"","Unusually rich currents bring fish closer to shore.","","","","",""
"Modifiers.Event.ContageousLaziness.Title",1036279308288,"","Contageous Laziness","","","","",""
"Modifiers.Event.ContageousLaziness.Description",1036279308289,"","Peoples lives are becoming easy. Maybe a little too easy. Nobody wants to work hard anymore.","","","","",""
"Modifiers.Event.CraftySnobs.Title",1036279308290,"","Crafty Snobs","","","","",""
"Modifiers.Event.CraftySnobs.Description",1036279308291,"","The rich elite is becoming unusually crafty. Perhaps a new trend to pass the time.","","","","",""
"Modifiers.Event.DryWinds.Title",1036279308292,"","Dry Winds","","","","",""
"Modifiers.Event.DryWinds.Description",1036279308293,"","Bad weather ruins much of the seasonal crops.","","","","",""
"Modifiers.Event.GenerousNobles.Title",1036279308294,"","Generous Nobles","","","","",""
"Modifiers.Event.GenerousNobles.Description",1036279308295,"","The nobility around these parts are in a giving mood and support all towns in their development.","","","","",""
"Modifiers.Event.HeavyRain.Title",1036279308296,"","Heavy Rain","","","","",""
"Modifiers.Event.HeavyRain.Description",1036279308297,"","The clouds are dark, the air is thick. This storm isn't going to end any time soon.","","","","",""
"Modifiers.Event.HorseShortage.Title",1036279308298,"","Horse Shortage","","","","",""
"Modifiers.Event.HorseShortage.Description",1036279308299,"","People need to ride and they take what they can get.","","","","",""
"Modifiers.Event.LandSlides.Title",1036279308300,"","Land Slides","","","","",""
"Modifiers.Event.LandSlides.Description",1036279308301,"","Large parts of the mountains have become impassable making the mines hardly usable.","","","","",""
"Modifiers.Event.MarketFair.Title",1036279308302,"","Market Fair","","","","",""
"Modifiers.Event.MarketFair.Description",1036279308303,"","A regional fair attracts traders and travelers.","","","","",""
"Modifiers.Event.PanicPurchases.Title",1036279308304,"","Panic Purchases","","","","",""
"Modifiers.Event.PanicPurchases.Description",1036279308305,"","Rumors of a coming plague are spreading. Panic sets in, and the people know their priorities: anything remotely suitable for wiping one's behinds.","","","","",""
"Modifiers.LevelModifer.GoldenTimes.Title",1036279308306,"","Golden Times","","","","",""
"Modifiers.LevelModifer.GoldenTimes.Description",1036279308307,"","Things have been great these past few years. The pepole are happy and healthy and life is good.","","","","",""
"Modifiers.LevelModifer.PlentifulOceans.Title",1036279308308,"","Plentiful Oceans","","","","",""
"Modifiers.LevelModifer.PlentifulOceans.Description",1036279308309,"","The oceans are plentiful here. Sadly, that's about the only thing plentiful. Everything else is expensvie and hard to get. So, towns really want to get some briny, juicy ocean stuff!","","","","",""
"Modifiers.LevelModifer.PlentifulOceans.MissionLimiter",1036279308310,"","Non-Ocean towns only request Ocean goods in their missions.","","","","",""
"Modifiers.LevelModifer.TimesOfMistrust.Title",1036279308311,"","Times of Mistrust","","","","",""
"Modifiers.LevelModifer.TimesOfMistrust.Description",1036279308312,"","People in this area like to stick to themselves and don't trust the others. You start with towns of one region on your side and will need to play your cards right to please everyone.","","","","",""
"Modifiers.Effect.Development",1036279308313,"","{0} development change rate","","","","",""
"Modifiers.Effect.MovementSpeed",1036279308314,"","{0} caravan movement speed","","","","",""
"Modifiers.Effect.Price",1036279308315,"","{0} to prices {1}","","","","",""
"Modifiers.Effect.PurchasePrice",1036279308316,"","{0} to purchase prices {1}","","","","",""
"Modifiers.Effect.SalePrice",1036279308317,"","{0} to sale prices {1}","","","","",""
"Modifiers.Effect.Production",1036279308318,"","{0} production speed {1}","","","","",""
"Modifiers.Effect.Reputation",1036279308319,"","{0} for all reputation changes","","","","",""
"Modifiers.Effect.Ally",1036279308320,"","Your allies will start the game with a high reputation of you.","","","","",""
"Modifiers.Effect.Ally.TownIsAlly",1036279308321,"","This town is your ally.","","","","",""
"Modifiers.Effect.Ally.TownIsFoe",1036279308322,"","This town is your foe.","","","","",""
