Key,Id,Shared Comments,English(en),English(en) Comments,French(fr),French(fr) Comments,German(de),German(de) Comments
"Towns.Missions.TradeMission.Title",1012338221056,"","Trade Mission","","","","",""
"Towns.Missions.UpgradeMission.Title",1012350803968,"","Upgrade Mission","","","","",""
"Towns.Missions.Description",1012350803969,"Comment Text","Sell {0}x {1}","","","","",""
"Towns.Missions.DeliveryStatus",1012350803970,"","{0}/{1} delivered","","","","",""
"Towns.Missions.Reward.Title",1012350803971,"","On Success","","","","",""
"Towns.Missions.Reward.Coin",1012350803972,"","{0} coin","","","","",""
"Towns.Missions.Reward.Growth",1012350803973,"","+{0} growth","","","","",""
"Towns.Missions.Reward.Reputation",1012350803974,"","+{0} reputation","","","","",""
"Towns.Missions.Penalty.Title",1012350803975,"","On Failure","","","","",""
"Towns.Missions.Penalty.Growth",1012350803976,"","{0} growth","","","","",""
"Towns.Missions.Penalty.Reputation",1012350803977,"","{0} reputation","","","","",""
"Towns.Missions.Notifications.Started.Title",1012350803978,"","{0} started: {1} wants {2}.","","","","",""
"Towns.Missions.Notifications.Started.Description",1012350803979,"","Deliver {0}x {1} before {2}.","","","","",""
"Towns.Missions.Notifications.Failed.Title",1012350803980,"","Mission failed: {0}","","","","",""
"Towns.Missions.Notifications.Failed.Description",1012350803981,"","You did not deliver enough {0} in time. {1} is not happy.","","","","",""
"Towns.Development.BaseDegrowth",1012350803982,"","Base degrowth for a {0} town","","","","",""
"Towns.TierLocked",1012350803983,"","Unlocked when town reaches {0}.","","","","",""
"Towns.Producer",1012350803984,"","Producer {0}","","","","",""
"Towns.Milestones.SelfSufficiency",1012350803985,"","The town will no longer decline over time.","","","","",""
"Towns.Milestones.FundsBoost",1012350803986,"","Increases the towns coin production by {0}.","","","","",""
"Towns.Milestones.ProductionBoost",1012350803987,"","Boosts the towns good production by {0}.","","","","",""
"Towns.Milestones.PriceBoost",1012350803988,"","Improves the towns prices by {0}.","","","","",""
"Towns.Milestones.Dividends",1012350803989,"","Receive {0} of the towns coin production.","","","","",""
"Towns.ReputationTrace.BuiltProducer",1012350803990,"","You constructed a {0}.","","","","",""
"Towns.ReputationTrace.Neglected",1012350803991,"","The town has been neglected for more than {0} days.","","","","",""
"Towns.ReputationTrace.MissionReward",1012354998272,"","You supplied {0} with the goods they wanted.","","","","",""
"Towns.ReputationTrace.MissionPenalty",1012354998273,"","You failed to supply {0} in time.","","","","",""
"Towns.Missions.UpgradeDescription",1012354998274,"","Completing this mission will upgrade this town to the next tier.","","","","",""
"Towns.Production.BaseFunds",1012354998275,"","Base production for tier {0} town.","","","","",""
"Towns.Milestones.DividendsModifier",1012354998276,"","Dividends: {0} of {1}s funds","","","","",""
"Towns.Title.Tier1",1012354998277,"","Village","","","","",""
"Towns.Title.Tier2",1012354998278,"","Town","","","","",""
"Towns.Title.Tier3",1012354998279,"","City","","","","",""
"Towns.UI.TownInventory.Title",1012354998280,"","Town Inventory","","","","",""
"Towns.UI.Development.Title",1012354998281,"","Development","","","","",""
"Towns.UI.ProductionBuildings.Title",1012354998282,"","Production Buildings","","","","",""
"Towns.UI.TradeMissions.Title",1012354998283,"","Trade Missions","","","","",""
"Towns.UI.UpgradeMission.Title",1012354998284,"","Upgrade Mission","","","","",""
"Towns.UI.Milestone",1012354998285,"","Milestone","","","","",""
