Key,Id,Shared Comments,English(en),English(en) Comments,French(fr),French(fr) Comments,German(de),German(de) Comments
"Trade.NetProfit",13917708288,"","You will be making a profit of {0} with this trade.","","","","",""
"Trade.NetLoss",13930291200,"","You will be making a loss of {0} with this trade.","","","","",""
"Trade.NotEnoughCoinPlayer",13930291201,"","You do not have enough coin.","","","","",""
"Trade.NotEnoughCoinTown",13930291202,"","{0} does not have enough coin.","","","","",""
"Trade.Coin",13930291203,"","coin","","","","",""
"Trade.NoEmptySlots",13930291204,"","There are no more empty slots for {0}","","","","",""
"Trade.CannotBuyTier",13930291205,"","{0} cannot buy {1} as they are not {2} yet.","","","","",""
"Trade.Price.BasePrice",13930291206,"","Base price for {0} goods","","","","",""
"Trade.Price.ForeignGood",13930291207,"","Good from foreign region","","","","",""
"Trade.Price.LocalGood",13930291208,"","Good from local region.","","","","",""
"Trade.Price.ReputationLikes",13930291209,"","{0} likes you! Your reputation: {1}","","","","",""
"Trade.Price.ReputationDislikes",13930291210,"","{0} dislikes you! Your reputation: {1}","","","","",""
"Trade.Price.Availability",13930291211,"","Availability: {0}","","","","",""
"Trade.Price.GlobalSurplus",13930291212,"","There is a global surplus of {0} {1}.","","","","",""
"Trade.Price.GlobalSurplusRate",13930291213,"","({0} per {1} goods)","","","","",""
"Trade.Price.Disinterest",13930291214,"","This town is growing tired of {0}.","","","","",""
"Trade.Price.DisinterestDetail",13930291215,"","They bought {0} {1} in the last {2} days.","","","","",""
"Trade.Validate.SelectTown",13930291216,"","Travel to and select a town to trade.","","","","",""
"Trade.Validate.TravelTo",13930291217,"","Travel to {0} to trade with them.","","","","",""
"Trade.Validate.ProducedLocally",13930291218,"","{0} is producing {1} themselves. They aren't interested in buying it.","","","","",""
"Trade.Validate.TownDoesNotOwn",13930291219,"","{0} does not own any {1}.","","","","",""
"Trade.Validate.PlayerDoesNotOwn",13930291220,"","You do not own any {0}.","","","","",""
"Trade.Validate.TownNotEnough",13930291221,"","{0} does not own {1} {2}.","","","","",""
"Trade.Validate.PlayerNotEnough",13930291222,"","You do not own {1} {2}.","","","","",""
"Trade.Validate.InventoryFull",13930291223,"","All {0} inventory slots are full.","","","","",""
"Trade.Haggling.Ruthless.Name",13930291224,"","Ruthless","","","","",""
"Trade.Haggling.Tough.Name",13930291225,"","Firm","","","","",""
"Trade.Haggling.Fair.Name",13930291226,"","Fair","","","","",""
"Trade.Haggling.Lenient.Name",13930291227,"","Lenient","","","","",""
"Trade.Haggling.Generous.Name",13930291228,"","Generous","","","","",""
"Trade.Haggling.Ruthless.Description",13930291229,"","You are haggling ruthlessly","","","","",""
"Trade.Haggling.Tough.Description",13930291230,"","You are haggling firmly","","","","",""
"Trade.Haggling.Fair.Description",13930291231,"","You are haggling fairly","","","","",""
"Trade.Haggling.Lenient.Description",13930291232,"","You are haggling leniently","","","","",""
"Trade.Haggling.Generous.Description",13930291233,"","You are haggling generously","","","","",""
"Trade.UI.Title",13930291234,"","Trade","","","","",""
"Trade.UI.BuyButton",13930291235,"","Buy","","","","",""
"Trade.UI.SellButton",13930291236,"","Sell","","","","",""
"Trade.UI.Haggling.Title",13930291237,"","Haggling","","","","",""
