Key,Id,Shared Comments,English(en),English(en) Comments,French(fr),French(fr) Comments,German(de),German(de) Comments
"Tutorial.Title",518081437696,"","Tutorial","","","","",""
"Tutorial.Button",518102409216,"","Tutorial: {0}","","","","",""
"Tutorial.Onboarding.TravelTo",518102409217,"","Travel to {0}","","","","",""
"Tutorial.Onboarding.BuildProducer",518102409218,"","Build {0} in {1}","","","","",""
"Tutorial.Onboarding.UnpauseGame",518102409219,"","Un-pause the game [Space]","","","","",""
"Tutorial.Onboarding.SetSpeedFast",518102409220,"","Set the game speed to fast [2]","","","","",""
"Tutorial.Onboarding.UpgradeCart",518102409221,"","Upgrade your cart to tier II.","","","","",""
"Tutorial.Onboarding.BuyGoods",518102409222,"","Buy {0} {1} in {2}.","","","","",""
"Tutorial.Onboarding.SellGoods",518106603520,"","Sell {0} {1} in {2}.","","","","",""
"Tutorial.Onboarding.UpgradeTown",518106603521,"","Upgrade {0} to tier II.","","","","",""
"Tutorial.Onboarding.Explainer.Step1",518106603522,"","Welcome, Merchant! This is a game about trade.\nYou will help small, disconnected towns develop by delivering what they need...\nAnd you'll make a pretty coin along the way.","","","","",""
"Tutorial.Onboarding.Explainer.Step2",518106603523,"","In this introduction, you will develop TownA and TownB to tier II.\nTowns grow by consuming the goods you sell them, through trade missions and in various other ways.","","","","",""
"Tutorial.Onboarding.Explainer.Step3",518106603524,"","It looks like TownB has an active trade mission for hay right now. You are currently in TownA, which happens to produce hay. Buy 15 hay, travel to TownB and sell it to them.","","","","",""
"Tutorial.Onboarding.Explainer.Step4",518106603525,"","Well done! Fulfilling missions gives you a cash reward and raises the towns development. You can inspect a town's development in the top of the town panel.","","","","",""
"Tutorial.Onboarding.Explainer.Step5",518106603526,"","In the meantime, TownA got ready to be upgraded. To upgrade towns to the next tier, you need to fulfill their upgrade missions.","","","","",""
"Tutorial.Onboarding.Explainer.Step6",518106603527,"","TownA needs berries to upgrade. The forest near TownB has berries. Build a berry picker in TownB and buy 30 berries.","","","","",""
"Tutorial.Onboarding.Explainer.Step7",518106603528,"","Nicely done! Investing in production buildings not only produces goods in the town, but also bumps up the towns development and your reputation with them.","","","","",""
"Tutorial.Onboarding.Explainer.Step8",518106603529,"","It will take some time to amass the 30 berries needed for TownA's upgrade mission. You can wait here and let some days pass by unpausing the game via [Space]. To further speed up time, press [2].","","","","",""
"Tutorial.Onboarding.Explainer.Step9",518106603530,"","There are now enough berries. Deliver them to TownA to complete their upgrade. While you're at it, you should also buy some wild game. The more goods a town has bought, the faster they develop. And the better your margins!","","","","",""
"Tutorial.Onboarding.Explainer.Step10",518106603531,"","To fit more than one good into your caravan, you must first upgrade your cart. Upgrading your carts makes them faster and adds more storage space. But be aware of increasing upkeep costs!","","","","",""
"Tutorial.Onboarding.Explainer.Step11",518106603532,"","Good job! TownA has been upgraded to Tier II. It has improved production speed and earns more coin, which is great news for you, as they can buy more goods off of you at once. Upgrading a town also unlocks the next tier of goods, which have much better earning potential for you.","","","","",""
"Tutorial.Onboarding.Explainer.Step12",518106603533,"","It's time to find your own fortune now. With everything you've learned, go ahead and help TownB get to tier II.","","","","",""
"Tutorial.Onboarding.Explainer.Step13",518106603534,"","TownA has some untapped resources in the neighboring fields. Build more production buildings, ship goods back and forth and help TownB prosper.\nGood luck out there!","","","","",""
"Tutorial.Topic.Intro.Title",518106603535,"","Intro","","","","",""
